"Info Button"," ","","","","","","","","","","",""
"New Tests","13863","","","","","","","","","","",""
"Tests by Day W/ % Positivity (Serology)","385","3720","3720","2020-10-18 00:00:00","2020-10-17 00:00:00","Number of Records","385","6654","8641","2020-08-17 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","573","5453","5453","2020-10-11 00:00:00","2020-10-10 00:00:00","Number of Records","573","5716","7150","2020-08-16 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","586","6563","6563","2020-10-04 00:00:00","2020-10-03 00:00:00","Number of Records","586","5280","7877","2020-08-15 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","697","5863","5863","2020-09-27 00:00:00","2020-09-26 00:00:00","Number of Records","697","4610","6546","2020-08-14 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","599","5677","5677","2020-09-20 00:00:00","2020-09-19 00:00:00","Number of Records","599","4545","6126","2020-08-13 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","630","5886","5886","2020-09-13 00:00:00","2020-09-12 00:00:00","Number of Records","630","3588","4949","2020-08-12 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","557","5646","5646","2020-09-06 00:00:00","2020-09-05 00:00:00","Number of Records","557","2987","3626","2020-08-11 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","759","6133","6133","2020-08-30 00:00:00","2020-08-29 00:00:00","Number of Records","759","3074","4255","2020-08-10 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","922","7425","7425","2020-08-23 00:00:00","2020-08-22 00:00:00","Number of Records","922","4361","5458","2020-08-09 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","1147","8629","8629","2020-08-16 00:00:00","2020-08-15 00:00:00","Number of Records","1147","5169","6981","2020-08-08 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","1298","9431","9431","2020-08-09 00:00:00","2020-08-08 00:00:00","Number of Records","1298","6795","10523","2020-08-07 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","1349","9864","9864","2020-08-02 00:00:00","2020-08-01 00:00:00","Number of Records","1349","7754","11600","2020-08-06 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","1466","11298","11298","2020-07-26 00:00:00","2020-07-25 00:00:00","Number of Records","1466","8227","12944","2020-08-05 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","1551","12088","12088","2020-07-19 00:00:00","2020-07-18 00:00:00","Number of Records","1551","10528","18297","2020-08-04 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","1468","11856","11856","2020-07-12 00:00:00","2020-07-11 00:00:00","Number of Records","1468","10466","19378","2020-08-03 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","1160","13079","13079","2020-07-05 00:00:00","2020-07-04 00:00:00","Number of Records","1160","6728","14153","2020-08-02 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","963","13385","13385","2020-06-28 00:00:00","2020-06-27 00:00:00","Number of Records","963","11804","22034","2020-08-01 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","981","18172","18172","2020-06-21 00:00:00","2020-06-20 00:00:00","Number of Records","981","10663","19725","2020-07-31 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","586","16557","16557","2020-06-14 00:00:00","2020-06-13 00:00:00","Number of Records","586","8176","15641","2020-07-30 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","578","17220","17220","2020-06-07 00:00:00","2020-06-06 00:00:00","Number of Records","578","5581","13506","2020-07-29 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","660","18730","18730","2020-05-31 00:00:00","2020-05-30 00:00:00","Number of Records","660","9181","12038","2020-07-28 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","516","17638","17638","2020-05-24 00:00:00","2020-05-23 00:00:00","Number of Records","516","6591","9726","2020-07-27 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","584","24662","24662","2020-05-17 00:00:00","2020-05-16 00:00:00","Number of Records","584","11422","11551","2020-07-26 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","669","22135","22135","2020-05-10 00:00:00","2020-05-09 00:00:00","Number of Records","669","9535","10560","2020-07-25 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","655","23074","23074","2020-05-03 00:00:00","2020-05-02 00:00:00","Number of Records","655","5375","7497","2020-07-24 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","459","12754","12754","2020-04-26 00:00:00","2020-04-25 00:00:00","Number of Records","459","855","2467","2020-07-23 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","13","244","244","2020-04-19 00:00:00","2020-04-18 00:00:00","Number of Records","13","675","1930","2020-07-22 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","12","42","42","2020-04-12 00:00:00","2020-04-11 00:00:00","Number of Records","12","612","1495","2020-07-21 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","2","14","14","2020-04-05 00:00:00","2020-04-04 00:00:00","Number of Records","2","843","1767","2020-07-20 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","","1","1","2020-03-29 00:00:00","2020-03-28 00:00:00","Number of Records","","974","1932","2020-08-18 00:00:00","% Positive",""
"Total Tests Conducted","2019646","","","","","","","","","","",""
"Age Group","Unknown","Unknown","7240","7240","","","","","","","",""
"Age Group","65 years and older","65 years and older","346164","346164","","","","","","","",""
"Age Group","55 - 64 years","55 - 64 years","279029","279029","","","","","","","",""
"Age Group","45 - 54 years","45 - 54 years","290268","290268","","","","","","","",""
"Age Group","20 - 44 years","20 - 44 years","838205","838205","","","","","","","",""
"Age Group","Less than 20 years","Less than 20 years","258740","258740","","","","","","","",""
"Tests by Day","11","2020-10-24 00:00:00","2020-10-23 00:00:00","11","11","","","","","","",""
"Tests by Day","3290","2020-10-23 00:00:00","2020-10-22 00:00:00","3290","3290","","","","","","",""
"Tests by Day","12109","2020-10-22 00:00:00","2020-10-21 00:00:00","12109","12109","","","","","","",""
"Tests by Day","14929","2020-10-21 00:00:00","2020-10-20 00:00:00","14929","14929","","","","","","",""
"Tests by Day","15647","2020-10-20 00:00:00","2020-10-19 00:00:00","15647","15647","","","","","","",""
"Tests by Day","15102","2020-10-19 00:00:00","2020-10-18 00:00:00","15102","15102","","","","","","",""
"Tests by Day","6654","2020-10-18 00:00:00","2020-10-17 00:00:00","6654","6654","","","","","","",""
"Tests by Day","8641","2020-10-17 00:00:00","2020-10-16 00:00:00","8641","8641","","","","","","",""
"Tests by Day","13321","2020-10-16 00:00:00","2020-10-15 00:00:00","13321","13321","","","","","","",""
"Tests by Day","12632","2020-10-15 00:00:00","2020-10-14 00:00:00","12632","12632","","","","","","",""
"Tests by Day","14004","2020-10-14 00:00:00","2020-10-13 00:00:00","14004","14004","","","","","","",""
"Tests by Day","13565","2020-10-13 00:00:00","2020-10-12 00:00:00","13565","13565","","","","","","",""
"Tests by Day","13293","2020-10-12 00:00:00","2020-10-11 00:00:00","13293","13293","","","","","","",""
"Tests by Day","5716","2020-10-11 00:00:00","2020-10-10 00:00:00","5716","5716","","","","","","",""
"Tests by Day","7150","2020-10-10 00:00:00","2020-10-09 00:00:00","7150","7150","","","","","","",""
"Tests by Day","13248","2020-10-09 00:00:00","2020-10-08 00:00:00","13248","13248","","","","","","",""
"Tests by Day","13045","2020-10-08 00:00:00","2020-10-07 00:00:00","13045","13045","","","","","","",""
"Tests by Day","13933","2020-10-07 00:00:00","2020-10-06 00:00:00","13933","13933","","","","","","",""
"Tests by Day","14924","2020-10-06 00:00:00","2020-10-05 00:00:00","14924","14924","","","","","","",""
"Tests by Day","14712","2020-10-05 00:00:00","2020-10-04 00:00:00","14712","14712","","","","","","",""
"Tests by Day","5280","2020-10-04 00:00:00","2020-10-03 00:00:00","5280","5280","","","","","","",""
