"Info Button"," ","","","","","","","","",""
"New Tests","14239","","","","","","","","",""
"Tests by Day W/ % Positivity (Serology)","10007","10007","2020-07-05 00:00:00","2020-07-04 00:00:00","Number of Records","4487","5366","2020-05-20 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","13213","13213","2020-06-28 00:00:00","2020-06-27 00:00:00","Number of Records","8149","12414","2020-05-19 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","18267","18267","2020-06-21 00:00:00","2020-06-20 00:00:00","Number of Records","6955","11252","2020-05-18 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","16751","16751","2020-06-14 00:00:00","2020-06-13 00:00:00","Number of Records","5330","8591","2020-05-17 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","17524","17524","2020-06-07 00:00:00","2020-06-06 00:00:00","Number of Records","4331","5784","2020-05-16 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","19066","19066","2020-05-31 00:00:00","2020-05-30 00:00:00","Number of Records","3290","9607","2020-05-15 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","17957","17957","2020-05-24 00:00:00","2020-05-23 00:00:00","Number of Records","3177","6846","2020-05-14 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","25048","25048","2020-05-17 00:00:00","2020-05-16 00:00:00","Number of Records","3870","12182","2020-05-13 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","22477","22477","2020-05-10 00:00:00","2020-05-09 00:00:00","Number of Records","2112","10244","2020-05-12 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","23481","23481","2020-05-03 00:00:00","2020-05-02 00:00:00","Number of Records","1556","5661","2020-05-11 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","12959","12959","2020-04-26 00:00:00","2020-04-25 00:00:00","Number of Records","679","909","2020-05-10 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","217","217","2020-04-19 00:00:00","2020-04-18 00:00:00","Number of Records","705","725","2020-05-09 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","39","39","2020-04-12 00:00:00","2020-04-11 00:00:00","Number of Records","674","650","2020-05-08 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","11","11","2020-04-05 00:00:00","2020-04-04 00:00:00","Number of Records","671","890","2020-05-21 00:00:00","% Positive",""
"Total Tests Conducted","892480","","","","","","","","",""
"Age Group","Unknown","Unknown","2040","2040","","","","","",""
"Age Group","65 years and older","65 years and older","161034","161034","","","","","",""
"Age Group","55 - 64 years","55 - 64 years","133601","133601","","","","","",""
"Age Group","45 - 54 years","45 - 54 years","139159","139159","","","","","",""
"Age Group","20 - 44 years","20 - 44 years","374642","374642","","","","","",""
"Age Group","Less than 20 years","Less than 20 years","82004","82004","","","","","",""
"Tests by Day W/ % Positivity (PCR)","33633","33633","2020-07-05 00:00:00","2020-07-04 00:00:00","Number of Records","4487","5366","2020-06-09 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","93833","93833","2020-06-28 00:00:00","2020-06-27 00:00:00","Number of Records","8149","12414","2020-06-08 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","110362","110362","2020-06-21 00:00:00","2020-06-20 00:00:00","Number of Records","6955","11252","2020-06-07 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","89849","89849","2020-06-14 00:00:00","2020-06-13 00:00:00","Number of Records","5330","8591","2020-06-06 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","71326","71326","2020-06-07 00:00:00","2020-06-06 00:00:00","Number of Records","4331","5784","2020-06-05 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","52057","52057","2020-05-31 00:00:00","2020-05-30 00:00:00","Number of Records","3290","9607","2020-06-04 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","41488","41488","2020-05-24 00:00:00","2020-05-23 00:00:00","Number of Records","3177","6846","2020-06-03 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","35882","35882","2020-05-17 00:00:00","2020-05-16 00:00:00","Number of Records","3870","12182","2020-06-02 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","43738","43738","2020-05-10 00:00:00","2020-05-09 00:00:00","Number of Records","2112","10244","2020-06-01 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","35522","35522","2020-05-03 00:00:00","2020-05-02 00:00:00","Number of Records","1556","5661","2020-05-31 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","22215","22215","2020-04-26 00:00:00","2020-04-25 00:00:00","Number of Records","679","909","2020-05-30 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","12258","12258","2020-04-19 00:00:00","2020-04-18 00:00:00","Number of Records","705","725","2020-05-29 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","10529","10529","2020-04-12 00:00:00","2020-04-11 00:00:00","Number of Records","674","650","2020-05-28 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","10081","10081","2020-04-05 00:00:00","2020-04-04 00:00:00","Number of Records","671","890","2020-05-27 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","11248","11248","2020-03-29 00:00:00","2020-03-28 00:00:00","Number of Records","609","1028","2020-05-26 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","12651","12651","2020-03-22 00:00:00","2020-03-21 00:00:00","Number of Records","588","672","2020-05-25 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","7615","7615","2020-03-15 00:00:00","2020-03-14 00:00:00","Number of Records","257","214","2020-05-24 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","1107","1107","2020-03-08 00:00:00","2020-03-07 00:00:00","Number of Records","7","3","2020-05-23 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","51","51","2020-03-01 00:00:00","2020-02-28 00:00:00","Number of Records","4","42768","2020-05-22 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","17","17","2020-02-23 00:00:00","2020-02-22 00:00:00","Number of Records","16292","13392","2020-05-22 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","1","1","2020-02-16 00:00:00","","Number of Records","563020","","2020-05-21 00:00:00","% Positive",""
"Tests by Day","19","2020-07-11 00:00:00","2020-07-10 00:00:00","19","19","","","","",""
"Tests by Day","1492","2020-07-10 00:00:00","2020-07-09 00:00:00","1492","1492","","","","",""
"Tests by Day","5033","2020-07-09 00:00:00","2020-07-08 00:00:00","5033","5033","","","","",""
"Tests by Day","7474","2020-07-08 00:00:00","2020-07-07 00:00:00","7474","7474","","","","",""
"Tests by Day","12037","2020-07-07 00:00:00","2020-07-06 00:00:00","12037","12037","","","","",""
"Tests by Day","13098","2020-07-06 00:00:00","2020-07-05 00:00:00","13098","13098","","","","",""
"Tests by Day","4487","2020-07-05 00:00:00","2020-07-04 00:00:00","4487","4487","","","","",""
"Tests by Day","5366","2020-07-04 00:00:00","2020-07-03 00:00:00","5366","5366","","","","",""
"Tests by Day","9399","2020-07-03 00:00:00","2020-07-02 00:00:00","9399","9399","","","","",""
"Tests by Day","16348","2020-07-02 00:00:00","2020-07-01 00:00:00","16348","16348","","","","",""
"Tests by Day","20555","2020-07-01 00:00:00","2020-06-30 00:00:00","20555","20555","","","","",""
"Tests by Day","23352","2020-06-30 00:00:00","2020-06-29 00:00:00","23352","23352","","","","",""
"Tests by Day","23877","2020-06-29 00:00:00","2020-06-28 00:00:00","23877","23877","","","","",""
"Tests by Day","8149","2020-06-28 00:00:00","2020-06-27 00:00:00","8149","8149","","","","",""
"Tests by Day","12414","2020-06-27 00:00:00","2020-06-26 00:00:00","12414","12414","","","","",""
"Tests by Day","23023","2020-06-26 00:00:00","2020-06-25 00:00:00","23023","23023","","","","",""
"Tests by Day","22147","2020-06-25 00:00:00","2020-06-24 00:00:00","22147","22147","","","","",""
"Tests by Day","22164","2020-06-24 00:00:00","2020-06-23 00:00:00","22164","22164","","","","",""
"Tests by Day","22054","2020-06-23 00:00:00","2020-06-22 00:00:00","22054","22054","","","","",""
"Tests by Day","19872","2020-06-22 00:00:00","2020-06-21 00:00:00","19872","19872","","","","",""
"Tests by Day","6955","2020-06-21 00:00:00","2020-06-20 00:00:00","6955","6955","","","","",""
"Tests by Day","11252","2020-06-20 00:00:00","2020-06-19 00:00:00","11252","11252","","","","",""
"Tests by Day","20686","2020-06-19 00:00:00","2020-06-18 00:00:00","20686","20686","","","","",""
"Tests by Day","19233","2020-06-18 00:00:00","2020-06-17 00:00:00","19233","19233","","","","",""
"Tests by Day","16674","2020-06-17 00:00:00","2020-06-16 00:00:00","16674","16674","","","","",""
"Tests by Day","17333","2020-06-16 00:00:00","2020-06-15 00:00:00","17333","17333","","","","",""
"Tests by Day","16092","2020-06-15 00:00:00","2020-06-14 00:00:00","16092","16092","","","","",""
"Tests by Day","5330","2020-06-14 00:00:00","2020-06-13 00:00:00","5330","5330","","","","",""
"Tests by Day","8591","2020-06-13 00:00:00","2020-06-12 00:00:00","8591","8591","","","","",""
"Tests by Day","16273","2020-06-12 00:00:00","2020-06-11 00:00:00","16273","16273","","","","",""
"Tests by Day","15087","2020-06-11 00:00:00","2020-06-10 00:00:00","15087","15087","","","","",""
"Tests by Day","14906","2020-06-10 00:00:00","2020-06-09 00:00:00","14906","14906","","","","",""
"Tests by Day","15252","2020-06-09 00:00:00","2020-06-08 00:00:00","15252","15252","","","","",""
"Tests by Day","14410","2020-06-08 00:00:00","2020-06-07 00:00:00","14410","14410","","","","",""
"Tests by Day","4331","2020-06-07 00:00:00","2020-06-06 00:00:00","4331","4331","","","","",""
"Tests by Day","5784","2020-06-06 00:00:00","2020-06-05 00:00:00","5784","5784","","","","",""
"Tests by Day","13849","2020-06-05 00:00:00","2020-06-04 00:00:00","13849","13849","","","","",""
"Tests by Day","11986","2020-06-04 00:00:00","2020-06-03 00:00:00","11986","11986","","","","",""
"Tests by Day","11566","2020-06-03 00:00:00","2020-06-02 00:00:00","11566","11566","","","","",""
"Tests by Day","12320","2020-06-02 00:00:00","2020-06-01 00:00:00","12320","12320","","","","",""
"Tests by Day","12328","2020-06-01 00:00:00","2020-05-31 00:00:00","12328","12328","","","","",""
"Tests by Day","3290","2020-05-31 00:00:00","2020-05-30 00:00:00","3290","3290","","","","",""
"Tests by Day","9607","2020-05-30 00:00:00","2020-05-29 00:00:00","9607","9607","","","","",""
"Tests by Day","12549","2020-05-29 00:00:00","2020-05-28 00:00:00","12549","12549","","","","",""
"Tests by Day","11036","2020-05-28 00:00:00","2020-05-27 00:00:00","11036","11036","","","","",""
"Tests by Day","9914","2020-05-27 00:00:00","2020-05-26 00:00:00","9914","9914","","","","",""
"Tests by Day","10498","2020-05-26 00:00:00","2020-05-25 00:00:00","10498","10498","","","","",""
"Tests by Day","2664","2020-05-25 00:00:00","2020-05-24 00:00:00","2664","2664","","","","",""
