"Number of deaths","1927","","","","","",""
"Death County Map","Yuma","AZ","Case counts","32.7539","-113.9364","117",""
"Death County Map","Yavapai","AZ","Case counts","34.7064","-112.4429","11",""
"Death County Map","Santa Cruz","AZ","Case counts","31.5332","-110.812","27",""
"Death County Map","Pinal","AZ","Case counts","32.9849","-111.4931","81",""
"Death County Map","Pima","AZ","Case counts","31.9681","-111.7806","302",""
"Death County Map","Navajo","AZ","Case counts","35.3134","-110.2972","134",""
"Death County Map","Mohave","AZ","Case counts","35.6177","-113.9958","93",""
"Death County Map","Maricopa","AZ","Case counts","33.2798","-112.7681","933",""
"Death County Map","La Paz","AZ","Case counts","33.6724","-113.9329","7",""
"Death County Map","Greenlee","AZ","Case counts","33.1001","-109.2714","<3",""
"Death County Map","Graham","AZ","Case counts","33.0361","-109.958","<3",""
"Death County Map","Gila","AZ","Case counts","33.7446","-110.685","6",""
"Death County Map","Coconino","AZ","Case counts","35.6465","-112.0424","97",""
"Death County Map","Cochise","AZ","Case counts","31.8901","-109.7497","17",""
"Death County Map","Apache","AZ","Case counts","35.3025","-109.4451","99",""
"Death Gender","Male","Male","0.549844236760125","1059","1059","",""
"Death Gender","Female","Female","0.450155763239875","867","867","",""
"Death Age Group","65+","65+","0.732226258432797","1411","1411","",""
"Death Age Group","55-64y","55-64y","0.139595225739491","269","269","",""
"Death Age Group","45-54y","45-54y","0.0669434353918007","129","129","",""
"Death Age Group","20-44y","20-44y","0.0570835495588999","110","110","",""
"Death Age Group","<20y","<20y","0.0041515308770109","8","8","",""
"Date Updated","Male","","","","","",""
"Death Race/Ethnicity","UNKNOWN","Unknown","287","0.148936170212766","287","287",""
"Death Race/Ethnicity","OTHER, NON-HISPANIC","Other, non-Hispanic","39","0.0202387130254281","39","39",""
"Death Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","20","0.0103788271925272","20","20",""
"Death Race/Ethnicity","BLACK, NON-HISPANIC","Black, non-Hispanic","52","0.0269849507005708","52","52",""
