"Number of deaths","5221","","","","","",""
"Death County Map","Yuma","AZ","Case counts","32.7539","-113.9364","331",""
"Death County Map","Yavapai","AZ","Case counts","34.7064","-112.4429","79",""
"Death County Map","Santa Cruz","AZ","Case counts","31.5332","-110.812","59",""
"Death County Map","Pinal","AZ","Case counts","32.9849","-111.4931","190",""
"Death County Map","Pima","AZ","Case counts","31.9681","-111.7806","596",""
"Death County Map","Navajo","AZ","Case counts","35.3134","-110.2972","223",""
"Death County Map","Mohave","AZ","Case counts","35.6177","-113.9958","214",""
"Death County Map","Maricopa","AZ","Case counts","33.2798","-112.7681","3093",""
"Death County Map","La Paz","AZ","Case counts","33.6724","-113.9329","15",""
"Death County Map","Greenlee","AZ","Case counts","33.1001","-109.2714","<3",""
"Death County Map","Graham","AZ","Case counts","33.0361","-109.958","23",""
"Death County Map","Gila","AZ","Case counts","33.7446","-110.685","50",""
"Death County Map","Coconino","AZ","Case counts","35.6465","-112.0424","128",""
"Death County Map","Cochise","AZ","Case counts","31.8901","-109.7497","64",""
"Death County Map","Apache","AZ","Case counts","35.3025","-109.4451","154",""
"Death Gender","Male","Male","0.571264367816092","2982","2982","",""
"Death Gender","Female","Female","0.428735632183908","2238","2238","",""
"Death Age Group","65+","65+","0.71308178509864","3723","3723","",""
"Death Age Group","55-64y","55-64y","0.157824171614633","824","824","",""
"Death Age Group","45-54y","45-54y","0.0693353763646811","362","362","",""
"Death Age Group","20-44y","20-44y","0.0576517908446658","301","301","",""
"Death Age Group","<20y","<20y","0.0021068760773798","11","11","",""
"Date Updated","Male","","","","","",""
"Death Race/Ethnicity","UNKNOWN","Unknown","602","0.115303581689332","602","602",""
"Death Race/Ethnicity","OTHER, NON-HISPANIC","Other, non-Hispanic","85","0.0162804060524804","85","85",""
"Death Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","59","0.0113005171423099","59","59",""
"Death Race/Ethnicity","BLACK, NON-HISPANIC","Black, non-Hispanic","162","0.0310285385941391","162","162",""
"Death Race/Ethnicity","NATIVE AMERICAN","Native American","550","0.105343803868991","550","550",""
"Death Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","1585","0.303581689331546","1585","1585",""
"Death Race/Ethnicity","WHITE, NON-HISPANIC","White, non-Hispanic","2178","0.417161463321203","2178","2178",""
"Epi Curve Death","1","1","2020-09-05 00:00:00","2020-08-12 00:00:00","","",""
"Epi Curve Death","2","2","2020-09-04 00:00:00","2020-08-11 00:00:00","","",""
