"Number of deaths","2918","","","","","",""
"Death County Map","Yuma","AZ","Case counts","32.7539","-113.9364","201",""
"Death County Map","Yavapai","AZ","Case counts","34.7064","-112.4429","49",""
"Death County Map","Santa Cruz","AZ","Case counts","31.5332","-110.812","42",""
"Death County Map","Pinal","AZ","Case counts","32.9849","-111.4931","109",""
"Death County Map","Pima","AZ","Case counts","31.9681","-111.7806","391",""
"Death County Map","Navajo","AZ","Case counts","35.3134","-110.2972","162",""
"Death County Map","Mohave","AZ","Case counts","35.6177","-113.9958","123",""
"Death County Map","Maricopa","AZ","Case counts","33.2798","-112.7681","1556",""
"Death County Map","La Paz","AZ","Case counts","33.6724","-113.9329","9",""
"Death County Map","Greenlee","AZ","Case counts","33.1001","-109.2714","<3",""
"Death County Map","Graham","AZ","Case counts","33.0361","-109.958","4",""
"Death County Map","Gila","AZ","Case counts","33.7446","-110.685","19",""
"Death County Map","Coconino","AZ","Case counts","35.6465","-112.0424","107",""
"Death County Map","Cochise","AZ","Case counts","31.8901","-109.7497","30",""
"Death County Map","Apache","AZ","Case counts","35.3025","-109.4451","115",""
"Death Gender","Male","Male","0.566335275968461","1652","1652","",""
"Death Gender","Female","Female","0.433664724031539","1265","1265","",""
"Death Age Group","65+","65+","0.726867717614805","2121","2121","",""
"Death Age Group","55-64y","55-64y","0.143934201507882","420","420","",""
"Death Age Group","45-54y","45-54y","0.0664838930774503","194","194","",""
"Death Age Group","20-44y","20-44y","0.0589444825222755","172","172","",""
"Death Age Group","<20y","<20y","0.0037697052775874","11","11","",""
"Date Updated","Male","","","","","",""
"Death Race/Ethnicity","UNKNOWN","Unknown","478","0.163810829335161","478","478",""
"Death Race/Ethnicity","OTHER, NON-HISPANIC","Other, non-Hispanic","50","0.0171350239890336","50","50",""
"Death Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","31","0.0106237148732008","31","31",""
"Death Race/Ethnicity","BLACK, NON-HISPANIC","Black, non-Hispanic","87","0.0298149417409184","87","87",""
"Death Race/Ethnicity","NATIVE AMERICAN","Native American","391","0.133995887594243","391","391",""
"Death Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","772","0.264564770390679","772","772",""
"Death Race/Ethnicity","WHITE, NON-HISPANIC","White, non-Hispanic","1109","0.380054832076765","1109","1109",""
"Epi Curve Death","2","2","2020-07-20 00:00:00","2020-06-26 00:00:00","","",""
"Epi Curve Death","6","6","2020-07-19 00:00:00","2020-06-25 00:00:00","","",""
"Epi Curve Death","8","8","2020-07-18 00:00:00","2020-06-24 00:00:00","","",""
"Epi Curve Death","20","20","2020-07-17 00:00:00","2020-06-23 00:00:00","","",""
"Epi Curve Death","14","14","2020-07-16 00:00:00","2020-06-22 00:00:00","","",""
"Epi Curve Death","30","30","2020-07-15 00:00:00","2020-06-21 00:00:00","","",""
"Epi Curve Death","36","36","2020-07-14 00:00:00","2020-06-20 00:00:00","","",""
"Epi Curve Death","42","42","2020-07-13 00:00:00","2020-06-19 00:00:00","","",""
"Epi Curve Death","39","39","2020-07-12 00:00:00","2020-06-18 00:00:00","","",""
"Epi Curve Death","50","50","2020-07-11 00:00:00","2020-06-17 00:00:00","","",""
"Epi Curve Death","56","56","2020-07-10 00:00:00","2020-06-16 00:00:00","","",""
"Epi Curve Death","70","70","2020-07-09 00:00:00","2020-06-15 00:00:00","","",""
"Epi Curve Death","66","66","2020-07-08 00:00:00","2020-06-14 00:00:00","","",""
"Epi Curve Death","73","73","2020-07-07 00:00:00","2020-06-13 00:00:00","","",""
"Epi Curve Death","65","65","2020-07-06 00:00:00","2020-06-12 00:00:00","","",""
"Epi Curve Death","52","52","2020-07-05 00:00:00","2020-06-11 00:00:00","","",""
"Epi Curve Death","67","67","2020-07-04 00:00:00","2020-06-10 00:00:00","","",""
"Epi Curve Death","54","54","2020-07-03 00:00:00","2020-06-09 00:00:00","","",""
"Epi Curve Death","60","60","2020-07-02 00:00:00","2020-06-08 00:00:00","","",""
"Epi Curve Death","55","55","2020-07-01 00:00:00","2020-06-07 00:00:00","","",""
"Epi Curve Death","60","60","2020-06-30 00:00:00","2020-06-06 00:00:00","","",""
"Epi Curve Death","46","46","2020-06-29 00:00:00","2020-06-05 00:00:00","","",""
"Epi Curve Death","43","43","2020-06-28 00:00:00","2020-06-04 00:00:00","","",""
"Epi Curve Death","46","46","2020-06-27 00:00:00","2020-06-03 00:00:00","","",""
"Epi Curve Death","41","41","2020-06-26 00:00:00","2020-06-02 00:00:00","","",""
"Epi Curve Death","54","54","2020-06-25 00:00:00","2020-06-01 00:00:00","","",""
"Epi Curve Death","32","32","2020-06-24 00:00:00","2020-05-31 00:00:00","","",""
"Epi Curve Death","42","42","2020-06-23 00:00:00","2020-05-30 00:00:00","","",""
"Epi Curve Death","19","19","2020-06-22 00:00:00","2020-05-29 00:00:00","","",""
"Epi Curve Death","31","31","2020-06-21 00:00:00","2020-05-28 00:00:00","","",""
"Epi Curve Death","31","31","2020-06-20 00:00:00","2020-05-27 00:00:00","","",""
"Epi Curve Death","40","40","2020-06-19 00:00:00","2020-05-26 00:00:00","","",""
"Epi Curve Death","25","25","2020-06-18 00:00:00","2020-05-25 00:00:00","","",""
"Epi Curve Death","25","25","2020-06-17 00:00:00","2020-05-24 00:00:00","","",""
"Epi Curve Death","33","33","2020-06-16 00:00:00","2020-05-23 00:00:00","","",""
"Epi Curve Death","34","34","2020-06-15 00:00:00","2020-05-22 00:00:00","","",""
"Epi Curve Death","31","31","2020-06-14 00:00:00","2020-05-21 00:00:00","","",""
"Epi Curve Death","32","32","2020-06-13 00:00:00","2020-05-20 00:00:00","","",""
"Epi Curve Death","32","32","2020-06-12 00:00:00","2020-05-19 00:00:00","","",""
"Epi Curve Death","25","25","2020-06-11 00:00:00","2020-05-18 00:00:00","","",""
"Epi Curve Death","22","22","2020-06-10 00:00:00","2020-05-17 00:00:00","","",""
"Epi Curve Death","25","25","2020-06-09 00:00:00","2020-05-16 00:00:00","","",""
"Epi Curve Death","23","23","2020-06-08 00:00:00","2020-05-15 00:00:00","","",""
"Epi Curve Death","28","28","2020-06-07 00:00:00","2020-05-14 00:00:00","","",""
"Epi Curve Death","25","25","2020-06-06 00:00:00","2020-05-13 00:00:00","","",""
"Epi Curve Death","20","20","2020-06-05 00:00:00","2020-05-12 00:00:00","","",""
"Epi Curve Death","13","13","2020-06-04 00:00:00","2020-05-11 00:00:00","","",""
"Epi Curve Death","27","27","2020-06-03 00:00:00","2020-05-10 00:00:00","","",""
"Epi Curve Death","22","22","2020-06-02 00:00:00","2020-05-09 00:00:00","","",""
"Epi Curve Death","11","11","2020-06-01 00:00:00","2020-05-08 00:00:00","","",""
"Epi Curve Death","23","23","2020-05-31 00:00:00","2020-05-07 00:00:00","","",""
"Epi Curve Death","14","14","2020-05-30 00:00:00","2020-05-06 00:00:00","","",""
"Epi Curve Death","18","18","2020-05-29 00:00:00","2020-05-05 00:00:00","","",""
"Epi Curve Death","26","26","2020-05-28 00:00:00","2020-05-04 00:00:00","","",""
"Epi Curve Death","19","19","2020-05-27 00:00:00","2020-05-03 00:00:00","","",""
"Epi Curve Death","20","20","2020-05-26 00:00:00","2020-05-02 00:00:00","","",""
"Epi Curve Death","18","18","2020-05-25 00:00:00","2020-05-01 00:00:00","","",""
"Epi Curve Death","15","15","2020-05-24 00:00:00","2020-04-30 00:00:00","","",""
"Epi Curve Death","22","22","2020-05-23 00:00:00","2020-04-29 00:00:00","","",""
"Epi Curve Death","19","19","2020-05-22 00:00:00","2020-04-28 00:00:00","","",""
"Epi Curve Death","15","15","2020-05-21 00:00:00","2020-04-27 00:00:00","","",""
"Epi Curve Death","12","12","2020-05-20 00:00:00","2020-04-26 00:00:00","","",""
"Epi Curve Death","17","17","2020-05-19 00:00:00","2020-04-25 00:00:00","","",""
"Epi Curve Death","11","11","2020-05-18 00:00:00","2020-04-24 00:00:00","","",""
"Epi Curve Death","20","20","2020-05-17 00:00:00","2020-04-23 00:00:00","","",""
"Epi Curve Death","22","22","2020-05-16 00:00:00","2020-04-22 00:00:00","","",""
"Epi Curve Death","22","22","2020-05-15 00:00:00","2020-04-21 00:00:00","","",""
