"Number of deaths","1810","","","","","","",""
"Death County Map","Yuma","AZ","Case counts","32.7539","-113.9364","","98",""
"Death County Map","Yavapai","AZ","Case counts","34.7064","-112.4429","","10",""
"Death County Map","Santa Cruz","AZ","Case counts","31.5332","-110.812","","24",""
"Death County Map","Pinal","AZ","Case counts","32.9849","-111.4931","","78",""
"Death County Map","Pima","AZ","Case counts","31.9681","-111.7806","","282",""
"Death County Map","Navajo","AZ","Case counts","35.3134","-110.2972","","133",""
"Death County Map","Mohave","AZ","Case counts","35.6177","-113.9958","","88",""
"Death County Map","Maricopa","AZ","Case counts","33.2798","-112.7681","","881",""
"Death County Map","La Paz","AZ","Case counts","33.6724","-113.9329","","5",""
"Death County Map","Greenlee","AZ","Case counts","33.1001","-109.2714","","<3",""
"Death County Map","Graham","AZ","Case counts","33.0361","-109.958","","<3",""
"Death County Map","Gila","AZ","Case counts","33.7446","-110.685","","6",""
"Death County Map","Coconino","AZ","Case counts","35.6465","-112.0424","","96",""
"Death County Map","Cochise","AZ","Case counts","31.8901","-109.7497","","14",""
"Death County Map","Apache","AZ","Case counts","35.3025","-109.4451","","92",""
"Death Gender","Male","0.552544247787611","999","","","","",""
"Death Gender","Female","0.447455752212389","809","","","","",""
"Death Age Group","65+","0.730386740331492","1322","","","","",""
"Death Age Group","55-64y","0.138121546961326","250","","","","",""
"Death Age Group","45-54y","0.0674033149171271","122","","","","",""
"Death Age Group","20-44y","0.0596685082872928","108","","","","",""
"Death Age Group","<20y","0.0044198895027624","8","","","","",""
"Date Updated","Male","","","","","","",""
"Death Race/Ethnicity","UNKNOWN","251","0.138674033149171","251","","","",""
"Death Race/Ethnicity","OTHER, NON-HISPANIC","38","0.0209944751381215","38","","","",""
"Death Race/Ethnicity","ASIAN/PACIFIC ISLAND","19","0.0104972375690608","19","","","",""
"Death Race/Ethnicity","BLACK, NON-HISPANIC","50","0.0276243093922652","50","","","",""
"Death Race/Ethnicity","NATIVE AMERICAN","299","0.165193370165746","299","","","",""
"Death Race/Ethnicity","HISPANIC OR LATINO","398","0.219889502762431","398","","","",""
"Death Race/Ethnicity","WHITE, NON-HISPANIC","755","0.417127071823204","755","","","",""
"Epi Curve Death","1","2020-07-04 00:00:00","","","","","",""
"Epi Curve Death","3","2020-07-03 00:00:00","","","","","",""
"Epi Curve Death","10","2020-07-02 00:00:00","","","","","",""
"Epi Curve Death","6","2020-07-01 00:00:00","","","","","",""
"Epi Curve Death","21","2020-06-30 00:00:00","","","","","",""
"Epi Curve Death","12","2020-06-29 00:00:00","","","","","",""
"Epi Curve Death","13","2020-06-28 00:00:00","","","","","",""
"Epi Curve Death","26","2020-06-27 00:00:00","","","","","",""
