"Number of deaths","2434","","","","","","","",""
"Death County Map","Yuma","AZ","Case counts","32.7539","-111.7806","-113.9364","0.0673788003286771","159",""
"Death County Map","Yavapai","AZ","Case counts","34.7064","-110.2972","-112.4429","0.0587510271158587","23",""
"Death County Map","Santa Cruz","AZ","Case counts","31.5332","-113.9958","-110.812","0.0036976170912079","32",""
"Death County Map","Pinal","AZ","Case counts","32.9849","-112.7681","-111.4931","0.150369761709121","90",""
"Death County Map","Pima","AZ","Case counts","31.9681","-113.9329","-111.7806","0.0197206244864421","347",""
"Death County Map","Navajo","AZ","Case counts","35.3134","-109.2714","-110.2972","0.0110928512736237","146",""
"Death County Map","Mohave","AZ","Case counts","35.6177","-109.958","-113.9958","0.0283483976992605","99",""
"Death County Map","Maricopa","AZ","Case counts","33.2798","-110.685","-112.7681","0.145028759244043","1277",""
"Death County Map","La Paz","AZ","Case counts","33.6724","-112.0424","-113.9329","0.246918652423993","7",""
"Death County Map","Greenlee","AZ","Case counts","33.1001","-109.7497","-109.2714","0.398520953163517","<3",""
"Death County Map","Graham","AZ","Case counts","33.0361","-109.4451","-109.958","","3",""
"Death County Map","Gila","AZ","Case counts","33.7446","0.560624743115495","-110.685","","16",""
"Death County Map","Coconino","AZ","Case counts","35.6465","0.439375256884505","-112.0424","","102",""
"Death County Map","Cochise","AZ","Case counts","31.8901","0.730073952341824","-109.7497","","27",""
"Death County Map","Apache","AZ","Case counts","35.3025","0.140098603122432","-109.4451","","105",""
"Death Gender","Male","Male","0.560624743115495","1364","1364","","","",""
"Death Gender","Female","Female","0.439375256884505","1069","1069","","","",""
"Death Age Group","65+","65+","0.730073952341824","1777","1777","","","",""
"Death Age Group","55-64y","55-64y","0.140098603122432","341","341","","","",""
"Death Age Group","45-54y","45-54y","0.0673788003286771","164","164","","","",""
"Death Age Group","20-44y","20-44y","0.0587510271158587","143","143","","","",""
"Death Age Group","<20y","<20y","0.0036976170912079","9","9","","","",""
"Death Race/Ethnicity","UNKNOWN","Unknown","366","0.150369761709121","366","366","","",""
"Death Race/Ethnicity","OTHER, NON-HISPANIC","Other, non-Hispanic","48","0.0197206244864421","48","48","","",""
"Death Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","27","0.0110928512736237","27","27","","",""
"Death Race/Ethnicity","BLACK, NON-HISPANIC","Black, non-Hispanic","69","0.0283483976992605","69","69","","",""
"Death Race/Ethnicity","NATIVE AMERICAN","Native American","353","0.145028759244043","353","353","","",""
"Death Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","601","0.246918652423993","601","601","","",""
"Death Race/Ethnicity","WHITE, NON-HISPANIC","White, non-Hispanic","970","0.398520953163517","970","970","","",""
"Epi Curve Death","8","8","2020-07-13 00:00:00","2020-05-08 00:00:00","","","","",""
"Epi Curve Death","6","6","2020-07-12 00:00:00","2020-05-07 00:00:00","","","","",""
"Epi Curve Death","20","20","2020-07-11 00:00:00","2020-05-06 00:00:00","","","","",""
"Epi Curve Death","19","19","2020-07-10 00:00:00","2020-05-05 00:00:00","","","","",""
"Epi Curve Death","36","36","2020-07-09 00:00:00","2020-05-04 00:00:00","","","","",""
"Epi Curve Death","29","29","2020-07-08 00:00:00","2020-05-03 00:00:00","","","","",""
"Epi Curve Death","43","43","2020-07-07 00:00:00","2020-05-02 00:00:00","","","","",""
"Epi Curve Death","47","47","2020-07-06 00:00:00","2020-05-01 00:00:00","","","","",""
"Epi Curve Death","34","34","2020-07-05 00:00:00","2020-04-30 00:00:00","","","","",""
"Epi Curve Death","49","49","2020-07-04 00:00:00","2020-04-29 00:00:00","","","","",""
