"Number of deaths","3779","","","","","",""
"Death County Map","Yuma","AZ","Case counts","32.7539","-113.9364","263",""
"Death County Map","Yavapai","AZ","Case counts","34.7064","-112.4429","62",""
"Death County Map","Santa Cruz","AZ","Case counts","31.5332","-110.812","50",""
"Death County Map","Pinal","AZ","Case counts","32.9849","-111.4931","141",""
"Death County Map","Pima","AZ","Case counts","31.9681","-111.7806","462",""
"Death County Map","Navajo","AZ","Case counts","35.3134","-110.2972","188",""
"Death County Map","Mohave","AZ","Case counts","35.6177","-113.9958","153",""
"Death County Map","Maricopa","AZ","Case counts","33.2798","-112.7681","2108",""
"Death County Map","La Paz","AZ","Case counts","33.6724","-113.9329","10",""
"Death County Map","Greenlee","AZ","Case counts","33.1001","-109.2714","<3",""
"Death County Map","Graham","AZ","Case counts","33.0361","-109.958","9",""
"Death County Map","Gila","AZ","Case counts","33.7446","-110.685","29",""
"Death County Map","Coconino","AZ","Case counts","35.6465","-112.0424","116",""
"Death County Map","Cochise","AZ","Case counts","31.8901","-109.7497","50",""
"Death County Map","Apache","AZ","Case counts","35.3025","-109.4451","136",""
"Death Gender","Male","Male","0.567496029645315","2144","2144","",""
"Death Gender","Female","Female","0.432503970354685","1634","1634","",""
"Death Age Group","65+","65+","0.720560994972215","2723","2723","",""
"Death Age Group","55-64y","55-64y","0.149510452500662","565","565","",""
"Death Age Group","45-54y","45-54y","0.0688012701772956","260","260","",""
"Death Age Group","20-44y","20-44y","0.0576872188409632","218","218","",""
"Death Age Group","<20y","<20y","0.0034400635088648","13","13","",""
"Date Updated","Male","","","","","",""
"Death Race/Ethnicity","UNKNOWN","Unknown","546","0.144482667372321","546","546",""
"Death Race/Ethnicity","OTHER, NON-HISPANIC","Other, non-Hispanic","66","0.0174649378142366","66","66",""
"Death Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","47","0.0124371526858957","47","47",""
"Death Race/Ethnicity","BLACK, NON-HISPANIC","Black, non-Hispanic","119","0.0314898121196084","119","119",""
"Death Race/Ethnicity","NATIVE AMERICAN","Native American","455","0.120402222810267","455","455",""
"Death Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","1055","0.279174384757872","1055","1055",""
"Death Race/Ethnicity","WHITE, NON-HISPANIC","White, non-Hispanic","1491","0.394548822439799","1491","1491",""
"Epi Curve Death","5","5","2020-08-01 00:00:00","2020-07-08 00:00:00","","",""
"Epi Curve Death","4","4","2020-07-31 00:00:00","2020-07-07 00:00:00","","",""
"Epi Curve Death","12","12","2020-07-30 00:00:00","2020-07-06 00:00:00","","",""
"Epi Curve Death","14","14","2020-07-29 00:00:00","2020-07-05 00:00:00","","",""
"Epi Curve Death","23","23","2020-07-28 00:00:00","2020-07-04 00:00:00","","",""
"Epi Curve Death","22","22","2020-07-27 00:00:00","2020-07-03 00:00:00","","",""
"Epi Curve Death","23","23","2020-07-26 00:00:00","2020-07-02 00:00:00","","",""
"Epi Curve Death","34","34","2020-07-25 00:00:00","2020-07-01 00:00:00","","",""
"Epi Curve Death","38","38","2020-07-24 00:00:00","2020-06-30 00:00:00","","",""
"Epi Curve Death","54","54","2020-07-23 00:00:00","2020-06-29 00:00:00","","",""
"Epi Curve Death","49","49","2020-07-22 00:00:00","2020-06-28 00:00:00","","",""
"Epi Curve Death","48","48","2020-07-21 00:00:00","2020-06-27 00:00:00","","",""
"Epi Curve Death","62","62","2020-07-20 00:00:00","2020-06-26 00:00:00","","",""
"Epi Curve Death","60","60","2020-07-19 00:00:00","2020-06-25 00:00:00","","",""
"Epi Curve Death","55","55","2020-07-18 00:00:00","2020-06-24 00:00:00","","",""
"Epi Curve Death","81","81","2020-07-17 00:00:00","2020-06-23 00:00:00","","",""
"Epi Curve Death","77","77","2020-07-16 00:00:00","2020-06-22 00:00:00","","",""
"Epi Curve Death","82","82","2020-07-15 00:00:00","2020-06-21 00:00:00","","",""
"Epi Curve Death","69","69","2020-07-14 00:00:00","2020-06-20 00:00:00","","",""
"Epi Curve Death","66","66","2020-07-13 00:00:00","2020-06-19 00:00:00","","",""
"Epi Curve Death","63","63","2020-07-12 00:00:00","2020-06-18 00:00:00","","",""
