"Number of deaths","2038","","","","","",""
"Death County Map","Yuma","AZ","Case counts","32.7539","-113.9364","124",""
"Death County Map","Yavapai","AZ","Case counts","34.7064","-112.4429","11",""
"Death County Map","Santa Cruz","AZ","Case counts","31.5332","-110.812","27",""
"Death County Map","Pinal","AZ","Case counts","32.9849","-111.4931","82",""
"Death County Map","Pima","AZ","Case counts","31.9681","-111.7806","313",""
"Death County Map","Navajo","AZ","Case counts","35.3134","-110.2972","134",""
"Death County Map","Mohave","AZ","Case counts","35.6177","-113.9958","96",""
"Death County Map","Maricopa","AZ","Case counts","33.2798","-112.7681","1012",""
"Death County Map","La Paz","AZ","Case counts","33.6724","-113.9329","7",""
"Death County Map","Greenlee","AZ","Case counts","33.1001","-109.2714","<3",""
"Death County Map","Graham","AZ","Case counts","33.0361","-109.958","<3",""
"Death County Map","Gila","AZ","Case counts","33.7446","-110.685","11",""
"Death County Map","Coconino","AZ","Case counts","35.6465","-112.0424","97",""
"Death County Map","Cochise","AZ","Case counts","31.8901","-109.7497","20",""
"Death County Map","Apache","AZ","Case counts","35.3025","-109.4451","101",""
"Death Gender","Male","Male","0.552554027504912","1125","1125","",""
"Death Gender","Female","Female","0.447445972495088","911","911","",""
"Death Age Group","65+","65+","0.736997055937193","1502","1502","",""
"Death Age Group","55-64y","55-64y","0.136898920510304","279","279","",""
"Death Age Group","45-54y","45-54y","0.0677134445534838","138","138","",""
"Death Age Group","20-44y","20-44y","0.0544651619234544","111","111","",""
"Death Age Group","<20y","<20y","0.0039254170755643","8","8","",""
"Date Updated","Male","","","","","",""
"Death Race/Ethnicity","UNKNOWN","Unknown","291","0.142787046123651","291","291",""
"Death Race/Ethnicity","OTHER, NON-HISPANIC","Other, non-Hispanic","40","0.0196270853778214","40","40",""
"Death Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","21","0.0103042198233562","21","21",""
"Death Race/Ethnicity","BLACK, NON-HISPANIC","Black, non-Hispanic","57","0.0279685966633955","57","57",""
"Death Race/Ethnicity","NATIVE AMERICAN","Native American","322","0.157998037291462","322","322",""
"Death Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","470","0.230618253189401","470","470",""
"Death Race/Ethnicity","WHITE, NON-HISPANIC","White, non-Hispanic","837","0.410696761530913","837","837",""
"Epi Curve Death","5","5","2020-07-07 00:00:00","2020-06-13 00:00:00","","",""
"Epi Curve Death","21","21","2020-07-06 00:00:00","2020-06-12 00:00:00","","",""
"Epi Curve Death","11","11","2020-07-05 00:00:00","2020-06-11 00:00:00","","",""
"Epi Curve Death","30","30","2020-07-04 00:00:00","2020-06-10 00:00:00","","",""
"Epi Curve Death","22","22","2020-07-03 00:00:00","2020-06-09 00:00:00","","",""
"Epi Curve Death","29","29","2020-07-02 00:00:00","2020-06-08 00:00:00","","",""
"Epi Curve Death","24","24","2020-07-01 00:00:00","2020-06-07 00:00:00","","",""
"Epi Curve Death","35","35","2020-06-30 00:00:00","2020-06-06 00:00:00","","",""
"Epi Curve Death","24","24","2020-06-29 00:00:00","2020-06-05 00:00:00","","",""
"Epi Curve Death","23","23","2020-06-28 00:00:00","2020-06-04 00:00:00","","",""
"Epi Curve Death","35","35","2020-06-27 00:00:00","2020-06-03 00:00:00","","",""
"Epi Curve Death","30","30","2020-06-26 00:00:00","2020-06-02 00:00:00","","",""
"Epi Curve Death","40","40","2020-06-25 00:00:00","2020-06-01 00:00:00","","",""
"Epi Curve Death","25","25","2020-06-24 00:00:00","2020-05-31 00:00:00","","",""
"Epi Curve Death","38","38","2020-06-23 00:00:00","2020-05-30 00:00:00","","",""
"Epi Curve Death","16","16","2020-06-22 00:00:00","2020-05-29 00:00:00","","",""
"Epi Curve Death","27","27","2020-06-21 00:00:00","2020-05-28 00:00:00","","",""
"Epi Curve Death","30","30","2020-06-20 00:00:00","2020-05-27 00:00:00","","",""
"Epi Curve Death","35","35","2020-06-19 00:00:00","2020-05-26 00:00:00","","",""
"Epi Curve Death","23","23","2020-06-18 00:00:00","2020-05-25 00:00:00","","",""
"Epi Curve Death","21","21","2020-06-17 00:00:00","2020-05-24 00:00:00","","",""
"Epi Curve Death","31","31","2020-06-16 00:00:00","2020-05-23 00:00:00","","",""
"Epi Curve Death","34","34","2020-06-15 00:00:00","2020-05-22 00:00:00","","",""
"Epi Curve Death","30","30","2020-06-14 00:00:00","2020-05-21 00:00:00","","",""
"Epi Curve Death","30","30","2020-06-13 00:00:00","2020-05-20 00:00:00","","",""
"Epi Curve Death","31","31","2020-06-12 00:00:00","2020-05-19 00:00:00","","",""
"Epi Curve Death","24","24","2020-06-11 00:00:00","2020-05-18 00:00:00","","",""
"Epi Curve Death","21","21","2020-06-10 00:00:00","2020-05-17 00:00:00","","",""
"Epi Curve Death","23","23","2020-06-09 00:00:00","2020-05-16 00:00:00","","",""
"Epi Curve Death","22","22","2020-06-08 00:00:00","2020-05-15 00:00:00","","",""
"Epi Curve Death","27","27","2020-06-07 00:00:00","2020-05-14 00:00:00","","",""
"Epi Curve Death","23","23","2020-06-06 00:00:00","2020-05-13 00:00:00","","",""
"Epi Curve Death","19","19","2020-06-05 00:00:00","2020-05-12 00:00:00","","",""
"Epi Curve Death","13","13","2020-06-04 00:00:00","2020-05-11 00:00:00","","",""
"Epi Curve Death","26","26","2020-06-03 00:00:00","2020-05-10 00:00:00","","",""
"Epi Curve Death","22","22","2020-06-02 00:00:00","2020-05-09 00:00:00","","",""
"Epi Curve Death","11","11","2020-06-01 00:00:00","2020-05-08 00:00:00","","",""
"Epi Curve Death","23","23","2020-05-31 00:00:00","2020-05-07 00:00:00","","",""
"Epi Curve Death","14","14","2020-05-30 00:00:00","2020-05-06 00:00:00","","",""
"Epi Curve Death","18","18","2020-05-29 00:00:00","2020-05-05 00:00:00","","",""
"Epi Curve Death","26","26","2020-05-28 00:00:00","2020-05-04 00:00:00","","",""
"Epi Curve Death","19","19","2020-05-27 00:00:00","2020-05-03 00:00:00","","",""
"Epi Curve Death","20","20","2020-05-26 00:00:00","2020-05-02 00:00:00","","",""
"Epi Curve Death","18","18","2020-05-25 00:00:00","2020-05-01 00:00:00","","",""
"Epi Curve Death","15","15","2020-05-24 00:00:00","2020-04-30 00:00:00","","",""
"Epi Curve Death","22","22","2020-05-23 00:00:00","2020-04-29 00:00:00","","",""
"Epi Curve Death","19","19","2020-05-22 00:00:00","2020-04-28 00:00:00","","",""
"Epi Curve Death","15","15","2020-05-21 00:00:00","2020-04-27 00:00:00","","",""
"Epi Curve Death","12","12","2020-05-20 00:00:00","2020-04-26 00:00:00","","",""
"Epi Curve Death","17","17","2020-05-19 00:00:00","2020-04-25 00:00:00","","",""
"Epi Curve Death","11","11","2020-05-18 00:00:00","2020-04-24 00:00:00","","",""
"Epi Curve Death","19","19","2020-05-17 00:00:00","2020-04-23 00:00:00","","",""
"Epi Curve Death","21","21","2020-05-16 00:00:00","2020-04-22 00:00:00","","",""
"Epi Curve Death","22","22","2020-05-15 00:00:00","2020-04-21 00:00:00","","",""
"Epi Curve Death","20","20","2020-05-14 00:00:00","2020-04-20 00:00:00","","",""
"Epi Curve Death","23","23","2020-05-13 00:00:00","2020-04-19 00:00:00","","",""
"Epi Curve Death","15","15","2020-05-12 00:00:00","2020-04-18 00:00:00","","",""
"Epi Curve Death","13","13","2020-05-11 00:00:00","2020-04-17 00:00:00","","",""
"Epi Curve Death","21","21","2020-05-10 00:00:00","2020-04-16 00:00:00","","",""
"Epi Curve Death","10","10","2020-05-09 00:00:00","2020-04-15 00:00:00","","",""
"Epi Curve Death","24","24","2020-05-08 00:00:00","2020-04-14 00:00:00","","",""
"Epi Curve Death","28","28","2020-05-07 00:00:00","2020-04-13 00:00:00","","",""
"Epi Curve Death","20","20","2020-05-06 00:00:00","2020-04-12 00:00:00","","",""
"Epi Curve Death","22","22","2020-05-05 00:00:00","2020-04-11 00:00:00","","",""
"Epi Curve Death","19","19","2020-05-04 00:00:00","2020-04-10 00:00:00","","",""
"Epi Curve Death","22","22","2020-05-03 00:00:00","2020-04-09 00:00:00","","",""
"Epi Curve Death","13","13","2020-05-02 00:00:00","2020-04-08 00:00:00","","",""
"Epi Curve Death","16","16","2020-05-01 00:00:00","2020-04-07 00:00:00","","",""
"Epi Curve Death","27","27","2020-04-30 00:00:00","2020-04-06 00:00:00","","",""
"Epi Curve Death","19","19","2020-04-29 00:00:00","2020-04-05 00:00:00","","",""
"Epi Curve Death","14","14","2020-04-28 00:00:00","2020-04-04 00:00:00","","",""
"Epi Curve Death","21","21","2020-04-27 00:00:00","2020-04-03 00:00:00","","",""
"Epi Curve Death","14","14","2020-04-26 00:00:00","2020-04-02 00:00:00","","",""
"Epi Curve Death","14","14","2020-04-25 00:00:00","2020-04-01 00:00:00","","",""
"Epi Curve Death","12","12","2020-04-24 00:00:00","2020-03-31 00:00:00","","",""
"Epi Curve Death","24","24","2020-04-23 00:00:00","2020-03-30 00:00:00","","",""
"Epi Curve Death","12","12","2020-04-22 00:00:00","2020-03-29 00:00:00","","",""
"Epi Curve Death","10","10","2020-04-21 00:00:00","2020-03-28 00:00:00","","",""
