"Hospital number","23871","","","","",""
"Hospital percent","0.0831090608408043","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","5","5","",""
"Age Group","65+","65 years and older","9515","9515","",""
"Age Group","55-64y","55 - 64 years","4595","4595","",""
"Age Group","45-54y","45 - 54 years","3719","3719","",""
"Age Group","20-44y","20 - 44 years","5418","5418","",""
"Age Group","<20y","Less than 20 years","619","619","",""
"Race/Ethnicity","UNKNOWN","Unknown","1764","0.0738971974362197","0.0738971974362197",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","744","0.0311675254492899","0.0311675254492899",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","328","0.0137405219722676","0.0137405219722676",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1090","0.045662100456621","0.045662100456621",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2385","0.0999120271459093","0.0999120271459093",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8390","0.351472498010138","0.351472498010138",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","9170","0.384148129529555","0.384148129529555",""
"Gender","Male","12394","0.519403235269466","0.519403235269466","",""
"Gender","Female","11468","0.480596764730534","0.480596764730534","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-11-18 00:00:00","2020-11-17 00:00:00","",""
"Epi Curve","26","26","2020-11-17 00:00:00","2020-11-16 00:00:00","",""
"Epi Curve","83","83","2020-11-16 00:00:00","2020-11-15 00:00:00","",""
"Epi Curve","130","130","2020-11-15 00:00:00","2020-11-14 00:00:00","",""
"Epi Curve","166","166","2020-11-14 00:00:00","2020-11-13 00:00:00","",""
"Epi Curve","144","144","2020-11-13 00:00:00","2020-11-12 00:00:00","",""
"Epi Curve","131","131","2020-11-12 00:00:00","2020-11-11 00:00:00","",""
"Epi Curve","151","151","2020-11-11 00:00:00","2020-11-10 00:00:00","",""
"Epi Curve","140","140","2020-11-10 00:00:00","2020-11-09 00:00:00","",""
"Epi Curve","134","134","2020-11-09 00:00:00","2020-11-08 00:00:00","",""
"Epi Curve","100","100","2020-11-08 00:00:00","2020-11-07 00:00:00","",""
"Epi Curve","88","88","2020-11-07 00:00:00","2020-11-06 00:00:00","",""
"Epi Curve","134","134","2020-11-06 00:00:00","2020-11-05 00:00:00","",""
"Epi Curve","142","142","2020-11-05 00:00:00","2020-11-04 00:00:00","",""
"Epi Curve","111","111","2020-11-04 00:00:00","2020-11-03 00:00:00","",""
"Epi Curve","93","93","2020-11-03 00:00:00","2020-11-02 00:00:00","",""
"Epi Curve","108","108","2020-11-02 00:00:00","2020-11-01 00:00:00","",""
"Epi Curve","84","84","2020-11-01 00:00:00","2020-10-31 00:00:00","",""
"Epi Curve","102","102","2020-10-31 00:00:00","2020-10-30 00:00:00","",""
"Epi Curve","99","99","2020-10-30 00:00:00","2020-10-29 00:00:00","",""
"Epi Curve","88","88","2020-10-29 00:00:00","2020-10-28 00:00:00","",""
"Epi Curve","92","92","2020-10-28 00:00:00","2020-10-27 00:00:00","",""
