"Hospital number","21424","","","","",""
"Hospital percent","0.0877870884468029","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","5","5","",""
"Age Group","65+","65 years and older","8366","8366","",""
"Age Group","55-64y","55 - 64 years","4146","4146","",""
"Age Group","45-54y","45 - 54 years","3401","3401","",""
"Age Group","20-44y","20 - 44 years","4977","4977","",""
"Age Group","<20y","Less than 20 years","529","529","",""
"Race/Ethnicity","UNKNOWN","Unknown","1757","0.0820108289768484","0.0820108289768484",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","672","0.0313666915608663","0.0313666915608663",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","302","0.0140963405526512","0.0140963405526512",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","985","0.0459764749813294","0.0459764749813294",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2181","0.101801717699776","0.101801717699776",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7642","0.356702763256161","0.356702763256161",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7885","0.368045182972367","0.368045182972367",""
"Gender","Male","11103","0.518492574950967","0.518492574950967","",""
"Gender","Female","10311","0.481507425049033","0.481507425049033","",""
"Date Updated"," ","","","","",""
"Epi Curve","14","14","2020-10-28 00:00:00","2020-10-27 00:00:00","",""
"Epi Curve","32","32","2020-10-27 00:00:00","2020-10-26 00:00:00","",""
"Epi Curve","55","55","2020-10-26 00:00:00","2020-10-25 00:00:00","",""
"Epi Curve","35","35","2020-10-25 00:00:00","2020-10-24 00:00:00","",""
"Epi Curve","57","57","2020-10-24 00:00:00","2020-10-23 00:00:00","",""
"Epi Curve","72","72","2020-10-23 00:00:00","2020-10-22 00:00:00","",""
"Epi Curve","72","72","2020-10-22 00:00:00","2020-10-21 00:00:00","",""
"Epi Curve","76","76","2020-10-21 00:00:00","2020-10-20 00:00:00","",""
"Epi Curve","73","73","2020-10-20 00:00:00","2020-10-19 00:00:00","",""
"Epi Curve","79","79","2020-10-19 00:00:00","2020-10-18 00:00:00","",""
"Epi Curve","51","51","2020-10-18 00:00:00","2020-10-17 00:00:00","",""
"Epi Curve","60","60","2020-10-17 00:00:00","2020-10-16 00:00:00","",""
"Epi Curve","62","62","2020-10-16 00:00:00","2020-10-15 00:00:00","",""
"Epi Curve","60","60","2020-10-15 00:00:00","2020-10-14 00:00:00","",""
"Epi Curve","56","56","2020-10-14 00:00:00","2020-10-13 00:00:00","",""
"Epi Curve","58","58","2020-10-13 00:00:00","2020-10-12 00:00:00","",""
"Epi Curve","67","67","2020-10-12 00:00:00","2020-10-11 00:00:00","",""
"Epi Curve","56","56","2020-10-11 00:00:00","2020-10-10 00:00:00","",""
"Epi Curve","46","46","2020-10-10 00:00:00","2020-10-09 00:00:00","",""
"Epi Curve","47","47","2020-10-09 00:00:00","2020-10-08 00:00:00","",""
"Epi Curve","41","41","2020-10-08 00:00:00","2020-10-07 00:00:00","",""
"Epi Curve","53","53","2020-10-07 00:00:00","2020-10-06 00:00:00","",""
"Epi Curve","45","45","2020-10-06 00:00:00","2020-10-05 00:00:00","",""
"Epi Curve","50","50","2020-10-05 00:00:00","2020-10-04 00:00:00","",""
"Epi Curve","41","41","2020-10-04 00:00:00","2020-10-03 00:00:00","",""
"Epi Curve","40","40","2020-10-03 00:00:00","2020-10-02 00:00:00","",""
"Epi Curve","45","45","2020-10-02 00:00:00","2020-10-01 00:00:00","",""
"Epi Curve","37","37","2020-10-01 00:00:00","2020-09-30 00:00:00","",""
"Epi Curve","37","37","2020-09-30 00:00:00","2020-09-29 00:00:00","",""
"Epi Curve","31","31","2020-09-29 00:00:00","2020-09-28 00:00:00","",""
"Epi Curve","45","45","2020-09-28 00:00:00","2020-09-27 00:00:00","",""
"Epi Curve","37","37","2020-09-27 00:00:00","2020-09-26 00:00:00","",""
"Epi Curve","35","35","2020-09-26 00:00:00","2020-09-25 00:00:00","",""
"Epi Curve","29","29","2020-09-25 00:00:00","2020-09-24 00:00:00","",""
"Epi Curve","35","35","2020-09-24 00:00:00","2020-09-23 00:00:00","",""
"Epi Curve","24","24","2020-09-23 00:00:00","2020-09-22 00:00:00","",""
"Epi Curve","30","30","2020-09-22 00:00:00","2020-09-21 00:00:00","",""
"Epi Curve","35","35","2020-09-21 00:00:00","2020-09-20 00:00:00","",""
"Epi Curve","31","31","2020-09-20 00:00:00","2020-09-19 00:00:00","",""
"Epi Curve","21","21","2020-09-19 00:00:00","2020-09-18 00:00:00","",""
"Epi Curve","23","23","2020-09-18 00:00:00","2020-09-17 00:00:00","",""
"Epi Curve","32","32","2020-09-17 00:00:00","2020-09-16 00:00:00","",""
"Epi Curve","21","21","2020-09-16 00:00:00","2020-09-15 00:00:00","",""
"Epi Curve","28","28","2020-09-15 00:00:00","2020-09-14 00:00:00","",""
"Epi Curve","28","28","2020-09-14 00:00:00","2020-09-13 00:00:00","",""
"Epi Curve","16","16","2020-09-13 00:00:00","2020-09-12 00:00:00","",""
"Epi Curve","19","19","2020-09-12 00:00:00","2020-09-11 00:00:00","",""
"Epi Curve","26","26","2020-09-11 00:00:00","2020-09-10 00:00:00","",""
"Epi Curve","23","23","2020-09-10 00:00:00","2020-09-09 00:00:00","",""
"Epi Curve","26","26","2020-09-09 00:00:00","2020-09-08 00:00:00","",""
"Epi Curve","28","28","2020-09-08 00:00:00","2020-09-07 00:00:00","",""
