"Hospital number","21433","","","","",""
"Hospital percent","0.106479802471099","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","2","2","",""
"Age Group","65+","65 years and older","7384","7384","",""
"Age Group","55-64y","55 - 64 years","3977","3977","",""
"Age Group","45-54y","45 - 54 years","3492","3492","",""
"Age Group","20-44y","20 - 44 years","5766","5766","",""
"Age Group","<20y","Less than 20 years","812","812","",""
"Race/Ethnicity","UNKNOWN","Unknown","1889","0.0881351187421266","0.0881351187421266",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","775","0.0361591937666216","0.0361591937666216",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","282","0.0131572808286288","0.0131572808286288",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1005","0.0468903093360705","0.0468903093360705",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1919","0.0895348294685765","0.0895348294685765",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7936","0.370270144170205","0.370270144170205",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7627","0.355853123687771","0.355853123687771",""
"Gender","Male","10994","0.513090960003734","0.513090960003734","",""
"Gender","Female","10433","0.486909039996266","0.486909039996266","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-08-28 00:00:00","2020-08-27 00:00:00","",""
"Epi Curve","9","9","2020-08-27 00:00:00","2020-08-26 00:00:00","",""
"Epi Curve","19","19","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
"Epi Curve","22","22","2020-08-25 00:00:00","2020-08-24 00:00:00","",""
"Epi Curve","35","35","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","31","31","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
"Epi Curve","51","51","2020-08-22 00:00:00","2020-08-21 00:00:00","",""
"Epi Curve","60","60","2020-08-21 00:00:00","2020-08-20 00:00:00","",""
"Epi Curve","86","86","2020-08-20 00:00:00","2020-08-19 00:00:00","",""
"Epi Curve","95","95","2020-08-19 00:00:00","2020-08-18 00:00:00","",""
"Epi Curve","95","95","2020-08-18 00:00:00","2020-08-17 00:00:00","",""
"Epi Curve","86","86","2020-08-17 00:00:00","2020-08-16 00:00:00","",""
"Epi Curve","73","73","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","68","68","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","76","76","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","92","92","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","113","113","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","118","118","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","114","114","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","75","75","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","96","96","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","122","122","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","127","127","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","139","139","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","180","180","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","190","190","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","138","138","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
