"Hospital number","14068","","","","",""
"Hospital percent","0.0766034838576181","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","5228","5228","",""
"Age Group","55-64y","55 - 64 years","2300","2300","",""
"Age Group","45-54y","45 - 54 years","2093","2093","",""
"Age Group","20-44y","20 - 44 years","3707","3707","",""
"Age Group","<20y","Less than 20 years","739","739","",""
"Race/Ethnicity","UNKNOWN","Unknown","1411","0.100298549900483","0.100298549900483",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","336","0.0238839920386693","0.0238839920386693",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","194","0.013790162069946","0.013790162069946",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","665","0.0472704009098664","0.0472704009098664",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1111","0.0789735570088143","0.0789735570088143",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","5375","0.38207278930907","0.38207278930907",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","4976","0.35371054876315","0.35371054876315",""
"Gender","Male","7129","0.50693308682358","0.50693308682358","",""
"Gender","Female","6934","0.49306691317642","0.49306691317642","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-08-10 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","2","2","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","21","21","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","32","32","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","35","35","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","37","37","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","134","134","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","169","169","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","150","150","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","247","247","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","302","302","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","161","161","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","220","220","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","289","289","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","297","297","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","266","266","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","282","282","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","365","365","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","238","238","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","276","276","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","324","324","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","362","362","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","447","447","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","509","509","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","492","492","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","270","270","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","307","307","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","246","246","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","174","174","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","116","116","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","141","141","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","138","138","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","118","118","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","101","101","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","115","115","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","123","123","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","160","160","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","127","127","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","145","145","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","96","96","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","115","115","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","122","122","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","105","105","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","118","118","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","127","127","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","136","136","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","111","111","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","82","82","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","125","125","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","102","102","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","82","82","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","96","96","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","121","121","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","84","84","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","90","90","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
"Epi Curve","86","86","2020-06-12 00:00:00","2020-06-11 00:00:00","",""
"Epi Curve","82","82","2020-06-11 00:00:00","2020-06-10 00:00:00","",""
"Epi Curve","80","80","2020-06-10 00:00:00","2020-06-09 00:00:00","",""
"Epi Curve","96","96","2020-06-09 00:00:00","2020-06-08 00:00:00","",""
