"Hospital number","22240","","","","",""
"Hospital percent","0.101199929014438","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","5","5","",""
"Age Group","65+","65 years and older","7810","7810","",""
"Age Group","55-64y","55 - 64 years","4145","4145","",""
"Age Group","45-54y","45 - 54 years","3583","3583","",""
"Age Group","20-44y","20 - 44 years","5901","5901","",""
"Age Group","<20y","Less than 20 years","796","796","",""
"Race/Ethnicity","UNKNOWN","Unknown","1822","0.0819244604316547","0.0819244604316547",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","810","0.0364208633093525","0.0364208633093525",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","291","0.0130845323741007","0.0130845323741007",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1046","0.0470323741007194","0.0470323741007194",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2059","0.0925809352517986","0.0925809352517986",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8197","0.368570143884892","0.368570143884892",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","8015","0.360386690647482","0.360386690647482",""
"Gender","Male","11393","0.51241342088693","0.51241342088693","",""
"Gender","Female","10841","0.48758657911307","0.48758657911307","",""
"Date Updated"," ","","","","",""
"Epi Curve","9","9","2020-09-30 00:00:00","2020-09-29 00:00:00","",""
"Epi Curve","18","18","2020-09-29 00:00:00","2020-09-28 00:00:00","",""
"Epi Curve","34","34","2020-09-28 00:00:00","2020-09-27 00:00:00","",""
"Epi Curve","35","35","2020-09-27 00:00:00","2020-09-26 00:00:00","",""
"Epi Curve","29","29","2020-09-26 00:00:00","2020-09-25 00:00:00","",""
"Epi Curve","22","22","2020-09-25 00:00:00","2020-09-24 00:00:00","",""
"Epi Curve","35","35","2020-09-24 00:00:00","2020-09-23 00:00:00","",""
"Epi Curve","22","22","2020-09-23 00:00:00","2020-09-22 00:00:00","",""
"Epi Curve","25","25","2020-09-22 00:00:00","2020-09-21 00:00:00","",""
"Epi Curve","29","29","2020-09-21 00:00:00","2020-09-20 00:00:00","",""
"Epi Curve","28","28","2020-09-20 00:00:00","2020-09-19 00:00:00","",""
"Epi Curve","14","14","2020-09-19 00:00:00","2020-09-18 00:00:00","",""
"Epi Curve","19","19","2020-09-18 00:00:00","2020-09-17 00:00:00","",""
"Epi Curve","25","25","2020-09-17 00:00:00","2020-09-16 00:00:00","",""
"Epi Curve","23","23","2020-09-16 00:00:00","2020-09-15 00:00:00","",""
"Epi Curve","25","25","2020-09-15 00:00:00","2020-09-14 00:00:00","",""
"Epi Curve","27","27","2020-09-14 00:00:00","2020-09-13 00:00:00","",""
"Epi Curve","17","17","2020-09-13 00:00:00","2020-09-12 00:00:00","",""
"Epi Curve","18","18","2020-09-12 00:00:00","2020-09-11 00:00:00","",""
"Epi Curve","27","27","2020-09-11 00:00:00","2020-09-10 00:00:00","",""
"Epi Curve","24","24","2020-09-10 00:00:00","2020-09-09 00:00:00","",""
"Epi Curve","28","28","2020-09-09 00:00:00","2020-09-08 00:00:00","",""
"Epi Curve","30","30","2020-09-08 00:00:00","2020-09-07 00:00:00","",""
"Epi Curve","29","29","2020-09-07 00:00:00","2020-09-06 00:00:00","",""
"Epi Curve","34","34","2020-09-06 00:00:00","2020-09-05 00:00:00","",""
"Epi Curve","23","23","2020-09-05 00:00:00","2020-09-04 00:00:00","",""
"Epi Curve","28","28","2020-09-04 00:00:00","2020-09-03 00:00:00","",""
"Epi Curve","31","31","2020-09-03 00:00:00","2020-09-02 00:00:00","",""
"Epi Curve","35","35","2020-09-02 00:00:00","2020-09-01 00:00:00","",""
"Epi Curve","29","29","2020-09-01 00:00:00","2020-08-31 00:00:00","",""
"Epi Curve","33","33","2020-08-31 00:00:00","2020-08-30 00:00:00","",""
"Epi Curve","32","32","2020-08-30 00:00:00","2020-08-29 00:00:00","",""
"Epi Curve","38","38","2020-08-29 00:00:00","2020-08-28 00:00:00","",""
"Epi Curve","42","42","2020-08-28 00:00:00","2020-08-27 00:00:00","",""
"Epi Curve","47","47","2020-08-27 00:00:00","2020-08-26 00:00:00","",""
"Epi Curve","49","49","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
