"Hospital number","30949","","","","",""
"Hospital percent","0.0757733044104181","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","5","5","",""
"Age Group","65+","65 years and older","12943","12943","",""
"Age Group","55-64y","55 - 64 years","5864","5864","",""
"Age Group","45-54y","45 - 54 years","4618","4618","",""
"Age Group","20-44y","20 - 44 years","6709","6709","",""
"Age Group","<20y","Less than 20 years","810","810","",""
"Race/Ethnicity","UNKNOWN","Unknown","1859","0.0600665611166758","0.0600665611166758",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","1041","0.033635981776471","0.033635981776471",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","453","0.0146369834243433","0.0146369834243433",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1370","0.04426637371159","0.04426637371159",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2811","0.0908268441629778","0.0908268441629778",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","10651","0.344146822191347","0.344146822191347",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","12764","0.412420433616595","0.412420433616595",""
"Gender","Male","16149","0.522030063035397","0.522030063035397","",""
"Gender","Female","14786","0.477969936964603","0.477969936964603","",""
"Date Updated"," ","","","","",""
"Epi Curve","2","2","2020-12-12 00:00:00","2020-12-11 00:00:00","",""
"Epi Curve","11","11","2020-12-11 00:00:00","2020-12-10 00:00:00","",""
"Epi Curve","120","120","2020-12-10 00:00:00","2020-12-09 00:00:00","",""
"Epi Curve","320","320","2020-12-09 00:00:00","2020-12-08 00:00:00","",""
"Epi Curve","349","349","2020-12-08 00:00:00","2020-12-07 00:00:00","",""
"Epi Curve","413","413","2020-12-07 00:00:00","2020-12-06 00:00:00","",""
"Epi Curve","299","299","2020-12-06 00:00:00","2020-12-05 00:00:00","",""
"Epi Curve","284","284","2020-12-05 00:00:00","2020-12-04 00:00:00","",""
"Epi Curve","298","298","2020-12-04 00:00:00","2020-12-03 00:00:00","",""
"Epi Curve","319","319","2020-12-03 00:00:00","2020-12-02 00:00:00","",""
"Epi Curve","367","367","2020-12-02 00:00:00","2020-12-01 00:00:00","",""
"Epi Curve","364","364","2020-12-01 00:00:00","2020-11-30 00:00:00","",""
"Epi Curve","342","342","2020-11-30 00:00:00","2020-11-29 00:00:00","",""
"Epi Curve","308","308","2020-11-29 00:00:00","2020-11-28 00:00:00","",""
"Epi Curve","313","313","2020-11-28 00:00:00","2020-11-27 00:00:00","",""
