"Hospital number","21747","","","","",""
"Hospital percent","0.104793203644897","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","3","3","",""
"Age Group","65+","65 years and older","7551","7551","",""
"Age Group","55-64y","55 - 64 years","4055","4055","",""
"Age Group","45-54y","45 - 54 years","3535","3535","",""
"Age Group","20-44y","20 - 44 years","5825","5825","",""
"Age Group","<20y","Less than 20 years","778","778","",""
"Race/Ethnicity","UNKNOWN","Unknown","1948","0.0895755736423415","0.0895755736423415",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","797","0.0366487331585966","0.0366487331585966",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","282","0.0129673058352876","0.0129673058352876",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1014","0.0466271209822044","0.0466271209822044",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1967","0.0904492573688325","0.0904492573688325",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8022","0.36887846599531","0.36887846599531",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7717","0.354853543017428","0.354853543017428",""
"Gender","Male","11154","0.513063477460902","0.513063477460902","",""
"Gender","Female","10586","0.486936522539098","0.486936522539098","",""
"Date Updated"," ","","","","",""
"Epi Curve","3","3","2020-09-10 00:00:00","2020-09-09 00:00:00","",""
"Epi Curve","8","8","2020-09-09 00:00:00","2020-09-08 00:00:00","",""
"Epi Curve","13","13","2020-09-08 00:00:00","2020-09-07 00:00:00","",""
"Epi Curve","16","16","2020-09-07 00:00:00","2020-09-06 00:00:00","",""
"Epi Curve","21","21","2020-09-06 00:00:00","2020-09-05 00:00:00","",""
"Epi Curve","26","26","2020-09-05 00:00:00","2020-09-04 00:00:00","",""
"Epi Curve","22","22","2020-09-04 00:00:00","2020-09-03 00:00:00","",""
"Epi Curve","29","29","2020-09-03 00:00:00","2020-09-02 00:00:00","",""
"Epi Curve","29","29","2020-09-02 00:00:00","2020-09-01 00:00:00","",""
"Epi Curve","24","24","2020-09-01 00:00:00","2020-08-31 00:00:00","",""
"Epi Curve","32","32","2020-08-31 00:00:00","2020-08-30 00:00:00","",""
"Epi Curve","31","31","2020-08-30 00:00:00","2020-08-29 00:00:00","",""
"Epi Curve","36","36","2020-08-29 00:00:00","2020-08-28 00:00:00","",""
"Epi Curve","40","40","2020-08-28 00:00:00","2020-08-27 00:00:00","",""
"Epi Curve","45","45","2020-08-27 00:00:00","2020-08-26 00:00:00","",""
"Epi Curve","48","48","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
