"Hospital number","21611","","","","",""
"Hospital percent","0.104399957488334","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","2","2","",""
"Age Group","65+","65 years and older","7500","7500","",""
"Age Group","55-64y","55 - 64 years","4030","4030","",""
"Age Group","45-54y","45 - 54 years","3514","3514","",""
"Age Group","20-44y","20 - 44 years","5789","5789","",""
"Age Group","<20y","Less than 20 years","776","776","",""
"Race/Ethnicity","UNKNOWN","Unknown","1920","0.0888436444403313","0.0888436444403313",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","785","0.0363240942112813","0.0363240942112813",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","283","0.013095183008653","0.013095183008653",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1007","0.0465966405996946","0.0465966405996946",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1947","0.0900930081902735","0.0900930081902735",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7996","0.369996760908797","0.369996760908797",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7673","0.35505066864097","0.35505066864097",""
"Gender","Male","11097","0.513607331296862","0.513607331296862","",""
"Gender","Female","10509","0.486392668703138","0.486392668703138","",""
"Date Updated"," ","","","","",""
"Epi Curve","5","5","2020-09-08 00:00:00","2020-09-07 00:00:00","",""
"Epi Curve","7","7","2020-09-07 00:00:00","2020-09-06 00:00:00","",""
"Epi Curve","17","17","2020-09-06 00:00:00","2020-09-05 00:00:00","",""
"Epi Curve","21","21","2020-09-05 00:00:00","2020-09-04 00:00:00","",""
"Epi Curve","22","22","2020-09-04 00:00:00","2020-09-03 00:00:00","",""
"Epi Curve","24","24","2020-09-03 00:00:00","2020-09-02 00:00:00","",""
"Epi Curve","25","25","2020-09-02 00:00:00","2020-09-01 00:00:00","",""
"Epi Curve","19","19","2020-09-01 00:00:00","2020-08-31 00:00:00","",""
"Epi Curve","25","25","2020-08-31 00:00:00","2020-08-30 00:00:00","",""
"Epi Curve","25","25","2020-08-30 00:00:00","2020-08-29 00:00:00","",""
"Epi Curve","31","31","2020-08-29 00:00:00","2020-08-28 00:00:00","",""
"Epi Curve","35","35","2020-08-28 00:00:00","2020-08-27 00:00:00","",""
"Epi Curve","43","43","2020-08-27 00:00:00","2020-08-26 00:00:00","",""
"Epi Curve","36","36","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
"Epi Curve","27","27","2020-08-25 00:00:00","2020-08-24 00:00:00","",""
"Epi Curve","33","33","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","32","32","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
"Epi Curve","46","46","2020-08-22 00:00:00","2020-08-21 00:00:00","",""
"Epi Curve","56","56","2020-08-21 00:00:00","2020-08-20 00:00:00","",""
"Epi Curve","86","86","2020-08-20 00:00:00","2020-08-19 00:00:00","",""
"Epi Curve","84","84","2020-08-19 00:00:00","2020-08-18 00:00:00","",""
"Epi Curve","88","88","2020-08-18 00:00:00","2020-08-17 00:00:00","",""
"Epi Curve","81","81","2020-08-17 00:00:00","2020-08-16 00:00:00","",""
"Epi Curve","67","67","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","62","62","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","70","70","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","88","88","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","107","107","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","115","115","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","108","108","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","71","71","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","91","91","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","113","113","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","123","123","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","136","136","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","171","171","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","188","188","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","134","134","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","89","89","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","174","174","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","198","198","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","176","176","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","229","229","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","299","299","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","165","165","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","219","219","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","273","273","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","314","314","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","300","300","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","311","311","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","365","365","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","272","272","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","305","305","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","360","360","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","421","421","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","506","506","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","558","558","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","563","563","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","351","351","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","424","424","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","381","381","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","320","320","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","282","282","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","288","288","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","323","323","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","295","295","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","274","274","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","280","280","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","297","297","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","318","318","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","312","312","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","287","287","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","232","232","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","240","240","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","264","264","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","267","267","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","244","244","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","244","244","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","247","247","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","205","205","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","181","181","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","224","224","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","186","186","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","170","170","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","173","173","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","191","191","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","136","136","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","144","144","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
"Epi Curve","134","134","2020-06-12 00:00:00","2020-06-11 00:00:00","",""
"Epi Curve","132","132","2020-06-11 00:00:00","2020-06-10 00:00:00","",""
"Epi Curve","120","120","2020-06-10 00:00:00","2020-06-09 00:00:00","",""
"Epi Curve","136","136","2020-06-09 00:00:00","2020-06-08 00:00:00","",""
"Epi Curve","139","139","2020-06-08 00:00:00","2020-06-07 00:00:00","",""
"Epi Curve","109","109","2020-06-07 00:00:00","2020-06-06 00:00:00","",""
"Epi Curve","105","105","2020-06-06 00:00:00","2020-06-05 00:00:00","",""
"Epi Curve","103","103","2020-06-05 00:00:00","2020-06-04 00:00:00","",""
"Epi Curve","93","93","2020-06-04 00:00:00","2020-06-03 00:00:00","",""
"Epi Curve","106","106","2020-06-03 00:00:00","2020-06-02 00:00:00","",""
"Epi Curve","108","108","2020-06-02 00:00:00","2020-06-01 00:00:00","",""
"Epi Curve","113","113","2020-06-01 00:00:00","2020-05-31 00:00:00","",""
"Epi Curve","67","67","2020-05-31 00:00:00","2020-05-30 00:00:00","",""
"Epi Curve","70","70","2020-05-30 00:00:00","2020-05-29 00:00:00","",""
"Epi Curve","75","75","2020-05-29 00:00:00","2020-05-28 00:00:00","",""
"Epi Curve","72","72","2020-05-28 00:00:00","2020-05-27 00:00:00","",""
"Epi Curve","79","79","2020-05-27 00:00:00","2020-05-26 00:00:00","",""
"Epi Curve","76","76","2020-05-26 00:00:00","2020-05-25 00:00:00","",""
"Epi Curve","74","74","2020-05-25 00:00:00","2020-05-24 00:00:00","",""
"Epi Curve","63","63","2020-05-24 00:00:00","2020-05-23 00:00:00","",""
"Epi Curve","65","65","2020-05-23 00:00:00","2020-05-22 00:00:00","",""
"Epi Curve","75","75","2020-05-22 00:00:00","2020-05-21 00:00:00","",""
"Epi Curve","67","67","2020-05-21 00:00:00","2020-05-20 00:00:00","",""
"Epi Curve","62","62","2020-05-20 00:00:00","2020-05-19 00:00:00","",""
"Epi Curve","50","50","2020-05-19 00:00:00","2020-05-18 00:00:00","",""
"Epi Curve","68","68","2020-05-18 00:00:00","2020-05-17 00:00:00","",""
"Epi Curve","46","46","2020-05-17 00:00:00","2020-05-16 00:00:00","",""
"Epi Curve","50","50","2020-05-16 00:00:00","2020-05-15 00:00:00","",""
"Epi Curve","53","53","2020-05-15 00:00:00","2020-05-14 00:00:00","",""
"Epi Curve","70","70","2020-05-14 00:00:00","2020-05-13 00:00:00","",""
"Epi Curve","52","52","2020-05-13 00:00:00","2020-05-12 00:00:00","",""
"Epi Curve","58","58","2020-05-12 00:00:00","2020-05-11 00:00:00","",""
"Epi Curve","51","51","2020-05-11 00:00:00","2020-05-10 00:00:00","",""
"Epi Curve","38","38","2020-05-10 00:00:00","2020-05-09 00:00:00","",""
"Epi Curve","43","43","2020-05-09 00:00:00","2020-05-08 00:00:00","",""
"Epi Curve","61","61","2020-05-08 00:00:00","2020-05-07 00:00:00","",""
"Epi Curve","47","47","2020-05-07 00:00:00","2020-05-06 00:00:00","",""
"Epi Curve","57","57","2020-05-06 00:00:00","2020-05-05 00:00:00","",""
"Epi Curve","61","61","2020-05-05 00:00:00","2020-05-04 00:00:00","",""
"Epi Curve","50","50","2020-05-04 00:00:00","2020-05-03 00:00:00","",""
"Epi Curve","57","57","2020-05-03 00:00:00","2020-05-02 00:00:00","",""
"Epi Curve","46","46","2020-05-02 00:00:00","2020-05-01 00:00:00","",""
"Epi Curve","53","53","2020-05-01 00:00:00","2020-04-30 00:00:00","",""
"Epi Curve","56","56","2020-04-30 00:00:00","2020-04-29 00:00:00","",""
"Epi Curve","63","63","2020-04-29 00:00:00","2020-04-28 00:00:00","",""
"Epi Curve","51","51","2020-04-28 00:00:00","2020-04-27 00:00:00","",""
"Epi Curve","60","60","2020-04-27 00:00:00","2020-04-26 00:00:00","",""
"Epi Curve","44","44","2020-04-26 00:00:00","2020-04-25 00:00:00","",""
"Epi Curve","48","48","2020-04-25 00:00:00","2020-04-24 00:00:00","",""
"Epi Curve","54","54","2020-04-24 00:00:00","2020-04-23 00:00:00","",""
"Epi Curve","46","46","2020-04-23 00:00:00","2020-04-22 00:00:00","",""
"Epi Curve","45","45","2020-04-22 00:00:00","2020-04-21 00:00:00","",""
"Epi Curve","31","31","2020-04-21 00:00:00","2020-04-20 00:00:00","",""
"Epi Curve","69","69","2020-04-20 00:00:00","2020-04-19 00:00:00","",""
"Epi Curve","48","48","2020-04-19 00:00:00","2020-04-18 00:00:00","",""
"Epi Curve","51","51","2020-04-18 00:00:00","2020-04-17 00:00:00","",""
