"Hospital number","20795","","","","",""
"Hospital percent","0.107939622328111","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","7152","7152","",""
"Age Group","55-64y","55 - 64 years","3788","3788","",""
"Age Group","45-54y","45 - 54 years","3351","3351","",""
"Age Group","20-44y","20 - 44 years","5540","5540","",""
"Age Group","<20y","Less than 20 years","963","963","",""
"Race/Ethnicity","UNKNOWN","Unknown","2903","0.139600865592691","0.139600865592691",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","601","0.0289011781678288","0.0289011781678288",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","264","0.012695359461409","0.012695359461409",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","940","0.0452031738398654","0.0452031738398654",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1778","0.0855013224332772","0.0855013224332772",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7340","0.352969463813417","0.352969463813417",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","6969","0.335128636691512","0.335128636691512",""
"Gender","Male","10641","0.51180799384349","0.51180799384349","",""
"Gender","Female","10150","0.48819200615651","0.48819200615651","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","11","11","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","30","30","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","104","104","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","112","112","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","74","74","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","84","84","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","110","110","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","129","129","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","145","145","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","172","172","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","196","196","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","136","136","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","82","82","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","182","182","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","209","209","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","183","183","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","273","273","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","326","326","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","177","177","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","237","237","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","299","299","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","340","340","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","319","319","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","337","337","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","393","393","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","283","283","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","320","320","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","373","373","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","448","448","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","556","556","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","589","589","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","587","587","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","351","351","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","447","447","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","394","394","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","327","327","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","281","281","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","287","287","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","319","319","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","294","294","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","271","271","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","274","274","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","293","293","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","311","311","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","312","312","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","288","288","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","229","229","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","237","237","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","260","260","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","262","262","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","238","238","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","239","239","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","246","246","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","205","205","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","183","183","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","224","224","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","186","186","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","169","169","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","169","169","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","192","192","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","135","135","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","143","143","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
"Epi Curve","134","134","2020-06-12 00:00:00","2020-06-11 00:00:00","",""
"Epi Curve","130","130","2020-06-11 00:00:00","2020-06-10 00:00:00","",""
"Epi Curve","121","121","2020-06-10 00:00:00","2020-06-09 00:00:00","",""
"Epi Curve","136","136","2020-06-09 00:00:00","2020-06-08 00:00:00","",""
"Epi Curve","139","139","2020-06-08 00:00:00","2020-06-07 00:00:00","",""
"Epi Curve","109","109","2020-06-07 00:00:00","2020-06-06 00:00:00","",""
"Epi Curve","104","104","2020-06-06 00:00:00","2020-06-05 00:00:00","",""
"Epi Curve","102","102","2020-06-05 00:00:00","2020-06-04 00:00:00","",""
"Epi Curve","92","92","2020-06-04 00:00:00","2020-06-03 00:00:00","",""
"Epi Curve","105","105","2020-06-03 00:00:00","2020-06-02 00:00:00","",""
"Epi Curve","108","108","2020-06-02 00:00:00","2020-06-01 00:00:00","",""
"Epi Curve","111","111","2020-06-01 00:00:00","2020-05-31 00:00:00","",""
"Epi Curve","66","66","2020-05-31 00:00:00","2020-05-30 00:00:00","",""
"Epi Curve","70","70","2020-05-30 00:00:00","2020-05-29 00:00:00","",""
"Epi Curve","76","76","2020-05-29 00:00:00","2020-05-28 00:00:00","",""
"Epi Curve","72","72","2020-05-28 00:00:00","2020-05-27 00:00:00","",""
"Epi Curve","80","80","2020-05-27 00:00:00","2020-05-26 00:00:00","",""
"Epi Curve","76","76","2020-05-26 00:00:00","2020-05-25 00:00:00","",""
"Epi Curve","72","72","2020-05-25 00:00:00","2020-05-24 00:00:00","",""
"Epi Curve","63","63","2020-05-24 00:00:00","2020-05-23 00:00:00","",""
"Epi Curve","64","64","2020-05-23 00:00:00","2020-05-22 00:00:00","",""
"Epi Curve","75","75","2020-05-22 00:00:00","2020-05-21 00:00:00","",""
"Epi Curve","68","68","2020-05-21 00:00:00","2020-05-20 00:00:00","",""
"Epi Curve","62","62","2020-05-20 00:00:00","2020-05-19 00:00:00","",""
"Epi Curve","49","49","2020-05-19 00:00:00","2020-05-18 00:00:00","",""
"Epi Curve","70","70","2020-05-18 00:00:00","2020-05-17 00:00:00","",""
"Epi Curve","45","45","2020-05-17 00:00:00","2020-05-16 00:00:00","",""
"Epi Curve","50","50","2020-05-16 00:00:00","2020-05-15 00:00:00","",""
"Epi Curve","53","53","2020-05-15 00:00:00","2020-05-14 00:00:00","",""
"Epi Curve","70","70","2020-05-14 00:00:00","2020-05-13 00:00:00","",""
"Epi Curve","52","52","2020-05-13 00:00:00","2020-05-12 00:00:00","",""
"Epi Curve","58","58","2020-05-12 00:00:00","2020-05-11 00:00:00","",""
"Epi Curve","51","51","2020-05-11 00:00:00","2020-05-10 00:00:00","",""
"Epi Curve","37","37","2020-05-10 00:00:00","2020-05-09 00:00:00","",""
"Epi Curve","43","43","2020-05-09 00:00:00","2020-05-08 00:00:00","",""
"Epi Curve","62","62","2020-05-08 00:00:00","2020-05-07 00:00:00","",""
