"Hospital number","21426","","","","",""
"Hospital percent","0.107055596360529","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","2","2","",""
"Age Group","65+","65 years and older","7357","7357","",""
"Age Group","55-64y","55 - 64 years","3972","3972","",""
"Age Group","45-54y","45 - 54 years","3485","3485","",""
"Age Group","20-44y","20 - 44 years","5764","5764","",""
"Age Group","<20y","Less than 20 years","846","846","",""
"Race/Ethnicity","UNKNOWN","Unknown","1881","0.0877905348641837","0.0877905348641837",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","781","0.0364510407915617","0.0364510407915617",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","281","0.013114907122188","0.013114907122188",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1008","0.0470456454774573","0.0470456454774573",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1909","0.0890973583496686","0.0890973583496686",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7942","0.370671147204331","0.370671147204331",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7624","0.35582936619061","0.35582936619061",""
"Gender","Male","10989","0.513049161959008","0.513049161959008","",""
"Gender","Female","10430","0.486950838040992","0.486950838040992","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
"Epi Curve","5","5","2020-08-25 00:00:00","2020-08-24 00:00:00","",""
"Epi Curve","26","26","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","27","27","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
"Epi Curve","48","48","2020-08-22 00:00:00","2020-08-21 00:00:00","",""
"Epi Curve","61","61","2020-08-21 00:00:00","2020-08-20 00:00:00","",""
"Epi Curve","88","88","2020-08-20 00:00:00","2020-08-19 00:00:00","",""
"Epi Curve","98","98","2020-08-19 00:00:00","2020-08-18 00:00:00","",""
"Epi Curve","98","98","2020-08-18 00:00:00","2020-08-17 00:00:00","",""
"Epi Curve","88","88","2020-08-17 00:00:00","2020-08-16 00:00:00","",""
"Epi Curve","77","77","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","70","70","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","78","78","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","93","93","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","115","115","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","117","117","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","114","114","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","75","75","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","96","96","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","123","123","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","131","131","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","140","140","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","184","184","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","189","189","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","136","136","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","91","91","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","173","173","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","203","203","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","178","178","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","231","231","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","305","305","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","167","167","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","224","224","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","277","277","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","321","321","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","304","304","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","318","318","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","372","372","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","275","275","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","306","306","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","361","361","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","432","432","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","517","517","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","563","563","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","565","565","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","347","347","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","425","425","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","380","380","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","320","320","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","282","282","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","288","288","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","323","323","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","295","295","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","272","272","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","278","278","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","295","295","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","315","315","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","312","312","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","286","286","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","231","231","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","240","240","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","262","262","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","266","266","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","239","239","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","243","243","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","246","246","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","204","204","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","182","182","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","223","223","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","187","187","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","169","169","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","171","171","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","191","191","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","136","136","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","145","145","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
"Epi Curve","134","134","2020-06-12 00:00:00","2020-06-11 00:00:00","",""
"Epi Curve","132","132","2020-06-11 00:00:00","2020-06-10 00:00:00","",""
"Epi Curve","121","121","2020-06-10 00:00:00","2020-06-09 00:00:00","",""
"Epi Curve","136","136","2020-06-09 00:00:00","2020-06-08 00:00:00","",""
"Epi Curve","139","139","2020-06-08 00:00:00","2020-06-07 00:00:00","",""
"Epi Curve","108","108","2020-06-07 00:00:00","2020-06-06 00:00:00","",""
"Epi Curve","105","105","2020-06-06 00:00:00","2020-06-05 00:00:00","",""
"Epi Curve","100","100","2020-06-05 00:00:00","2020-06-04 00:00:00","",""
"Epi Curve","93","93","2020-06-04 00:00:00","2020-06-03 00:00:00","",""
