"Hospital number","20756","","","","",""
"Hospital percent","0.106986933326461","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","7147","7147","",""
"Age Group","55-64y","55 - 64 years","3789","3789","",""
"Age Group","45-54y","45 - 54 years","3351","3351","",""
"Age Group","20-44y","20 - 44 years","5522","5522","",""
"Age Group","<20y","Less than 20 years","946","946","",""
"Race/Ethnicity","UNKNOWN","Unknown","2889","0.139188668336866","0.139188668336866",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","597","0.0287627673925612","0.0287627673925612",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","264","0.0127192137213336","0.0127192137213336",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","936","0.04509539410291","0.04509539410291",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1783","0.0859028714588553","0.0859028714588553",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7336","0.353439969165542","0.353439969165542",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","6951","0.334891115821931","0.334891115821931",""
"Gender","Male","10619","0.511709714726292","0.511709714726292","",""
"Gender","Female","10133","0.488290285273709","0.488290285273709","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","5","5","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","8","8","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","14","14","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","31","31","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","101","101","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","105","105","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","70","70","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","81","81","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","112","112","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","124","124","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","143","143","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","171","171","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","196","196","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","136","136","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","84","84","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","181","181","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","208","208","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","183","183","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","270","270","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","325","325","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","177","177","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","239","239","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","299","299","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","338","338","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","317","317","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","334","334","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","387","387","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","276","276","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","316","316","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","373","373","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","447","447","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","554","554","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","588","588","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","586","586","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","353","353","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","444","444","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","394","394","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","326","326","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","280","280","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","286","286","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","319","319","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","293","293","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","271","271","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","274","274","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","293","293","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","311","311","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","313","313","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","288","288","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","230","230","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","237","237","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","259","259","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","262","262","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","238","238","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","240","240","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","246","246","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","205","205","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","183","183","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","224","224","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","186","186","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","169","169","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","169","169","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","192","192","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","135","135","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","143","143","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
"Epi Curve","134","134","2020-06-12 00:00:00","2020-06-11 00:00:00","",""
"Epi Curve","130","130","2020-06-11 00:00:00","2020-06-10 00:00:00","",""
"Epi Curve","120","120","2020-06-10 00:00:00","2020-06-09 00:00:00","",""
"Epi Curve","136","136","2020-06-09 00:00:00","2020-06-08 00:00:00","",""
"Epi Curve","139","139","2020-06-08 00:00:00","2020-06-07 00:00:00","",""
"Epi Curve","109","109","2020-06-07 00:00:00","2020-06-06 00:00:00","",""
"Epi Curve","104","104","2020-06-06 00:00:00","2020-06-05 00:00:00","",""
"Epi Curve","102","102","2020-06-05 00:00:00","2020-06-04 00:00:00","",""
"Epi Curve","92","92","2020-06-04 00:00:00","2020-06-03 00:00:00","",""
"Epi Curve","106","106","2020-06-03 00:00:00","2020-06-02 00:00:00","",""
"Epi Curve","108","108","2020-06-02 00:00:00","2020-06-01 00:00:00","",""
"Epi Curve","111","111","2020-06-01 00:00:00","2020-05-31 00:00:00","",""
"Epi Curve","66","66","2020-05-31 00:00:00","2020-05-30 00:00:00","",""
"Epi Curve","70","70","2020-05-30 00:00:00","2020-05-29 00:00:00","",""
"Epi Curve","76","76","2020-05-29 00:00:00","2020-05-28 00:00:00","",""
"Epi Curve","72","72","2020-05-28 00:00:00","2020-05-27 00:00:00","",""
"Epi Curve","80","80","2020-05-27 00:00:00","2020-05-26 00:00:00","",""
"Epi Curve","76","76","2020-05-26 00:00:00","2020-05-25 00:00:00","",""
"Epi Curve","72","72","2020-05-25 00:00:00","2020-05-24 00:00:00","",""
"Epi Curve","63","63","2020-05-24 00:00:00","2020-05-23 00:00:00","",""
"Epi Curve","64","64","2020-05-23 00:00:00","2020-05-22 00:00:00","",""
"Epi Curve","75","75","2020-05-22 00:00:00","2020-05-21 00:00:00","",""
"Epi Curve","68","68","2020-05-21 00:00:00","2020-05-20 00:00:00","",""
"Epi Curve","62","62","2020-05-20 00:00:00","2020-05-19 00:00:00","",""
"Epi Curve","50","50","2020-05-19 00:00:00","2020-05-18 00:00:00","",""
"Epi Curve","70","70","2020-05-18 00:00:00","2020-05-17 00:00:00","",""
"Epi Curve","45","45","2020-05-17 00:00:00","2020-05-16 00:00:00","",""
"Epi Curve","50","50","2020-05-16 00:00:00","2020-05-15 00:00:00","",""
"Epi Curve","53","53","2020-05-15 00:00:00","2020-05-14 00:00:00","",""
"Epi Curve","70","70","2020-05-14 00:00:00","2020-05-13 00:00:00","",""
"Epi Curve","52","52","2020-05-13 00:00:00","2020-05-12 00:00:00","",""
"Epi Curve","58","58","2020-05-12 00:00:00","2020-05-11 00:00:00","",""
"Epi Curve","51","51","2020-05-11 00:00:00","2020-05-10 00:00:00","",""
"Epi Curve","37","37","2020-05-10 00:00:00","2020-05-09 00:00:00","",""
"Epi Curve","43","43","2020-05-09 00:00:00","2020-05-08 00:00:00","",""
"Epi Curve","62","62","2020-05-08 00:00:00","2020-05-07 00:00:00","",""
"Epi Curve","46","46","2020-05-07 00:00:00","2020-05-06 00:00:00","",""
"Epi Curve","56","56","2020-05-06 00:00:00","2020-05-05 00:00:00","",""
"Epi Curve","60","60","2020-05-05 00:00:00","2020-05-04 00:00:00","",""
"Epi Curve","51","51","2020-05-04 00:00:00","2020-05-03 00:00:00","",""
"Epi Curve","55","55","2020-05-03 00:00:00","2020-05-02 00:00:00","",""
"Epi Curve","46","46","2020-05-02 00:00:00","2020-05-01 00:00:00","",""
"Epi Curve","52","52","2020-05-01 00:00:00","2020-04-30 00:00:00","",""
"Epi Curve","56","56","2020-04-30 00:00:00","2020-04-29 00:00:00","",""
"Epi Curve","63","63","2020-04-29 00:00:00","2020-04-28 00:00:00","",""
"Epi Curve","51","51","2020-04-28 00:00:00","2020-04-27 00:00:00","",""
"Epi Curve","60","60","2020-04-27 00:00:00","2020-04-26 00:00:00","",""
"Epi Curve","44","44","2020-04-26 00:00:00","2020-04-25 00:00:00","",""
"Epi Curve","48","48","2020-04-25 00:00:00","2020-04-24 00:00:00","",""
"Epi Curve","55","55","2020-04-24 00:00:00","2020-04-23 00:00:00","",""
"Epi Curve","46","46","2020-04-23 00:00:00","2020-04-22 00:00:00","",""
"Epi Curve","45","45","2020-04-22 00:00:00","2020-04-21 00:00:00","",""
"Epi Curve","31","31","2020-04-21 00:00:00","2020-04-20 00:00:00","",""
"Epi Curve","69","69","2020-04-20 00:00:00","2020-04-19 00:00:00","",""
"Epi Curve","48","48","2020-04-19 00:00:00","2020-04-18 00:00:00","",""
"Epi Curve","51","51","2020-04-18 00:00:00","2020-04-17 00:00:00","",""
"Epi Curve","31","31","2020-04-17 00:00:00","2020-04-16 00:00:00","",""
"Epi Curve","44","44","2020-04-16 00:00:00","2020-04-15 00:00:00","",""
"Epi Curve","43","43","2020-04-15 00:00:00","2020-04-14 00:00:00","",""
"Epi Curve","50","50","2020-04-14 00:00:00","2020-04-13 00:00:00","",""
"Epi Curve","48","48","2020-04-13 00:00:00","2020-04-12 00:00:00","",""
"Epi Curve","39","39","2020-04-12 00:00:00","2020-04-11 00:00:00","",""
"Epi Curve","43","43","2020-04-11 00:00:00","2020-04-10 00:00:00","",""
"Epi Curve","46","46","2020-04-10 00:00:00","2020-04-09 00:00:00","",""
"Epi Curve","44","44","2020-04-09 00:00:00","2020-04-08 00:00:00","",""
"Epi Curve","54","54","2020-04-08 00:00:00","2020-04-07 00:00:00","",""
"Epi Curve","34","34","2020-04-07 00:00:00","2020-04-06 00:00:00","",""
"Epi Curve","59","59","2020-04-06 00:00:00","2020-04-05 00:00:00","",""
"Epi Curve","49","49","2020-04-05 00:00:00","2020-04-04 00:00:00","",""
