"Hospital number","21043","","","","",""
"Hospital percent","0.0888745290828307","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","5","5","",""
"Age Group","65+","65 years and older","8185","8185","",""
"Age Group","55-64y","55 - 64 years","4089","4089","",""
"Age Group","45-54y","45 - 54 years","3347","3347","",""
"Age Group","20-44y","20 - 44 years","4895","4895","",""
"Age Group","<20y","Less than 20 years","522","522","",""
"Race/Ethnicity","UNKNOWN","Unknown","1716","0.0815473078933612","0.0815473078933612",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","660","0.0313643491897543","0.0313643491897543",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","295","0.0140189136529962","0.0140189136529962",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","976","0.0463812194078791","0.0463812194078791",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2148","0.102076700090291","0.102076700090291",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7529","0.357791189469182","0.357791189469182",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7719","0.366820320296536","0.366820320296536",""
"Gender","Male","10896","0.517993819824103","0.517993819824103","",""
"Gender","Female","10139","0.482006180175897","0.482006180175897","",""
"Date Updated"," ","","","","",""
"Epi Curve","11","11","2020-10-22 00:00:00","2020-10-21 00:00:00","",""
"Epi Curve","30","30","2020-10-21 00:00:00","2020-10-20 00:00:00","",""
"Epi Curve","62","62","2020-10-20 00:00:00","2020-10-19 00:00:00","",""
"Epi Curve","53","53","2020-10-19 00:00:00","2020-10-18 00:00:00","",""
"Epi Curve","40","40","2020-10-18 00:00:00","2020-10-17 00:00:00","",""
"Epi Curve","58","58","2020-10-17 00:00:00","2020-10-16 00:00:00","",""
"Epi Curve","56","56","2020-10-16 00:00:00","2020-10-15 00:00:00","",""
"Epi Curve","52","52","2020-10-15 00:00:00","2020-10-14 00:00:00","",""
"Epi Curve","52","52","2020-10-14 00:00:00","2020-10-13 00:00:00","",""
"Epi Curve","52","52","2020-10-13 00:00:00","2020-10-12 00:00:00","",""
"Epi Curve","68","68","2020-10-12 00:00:00","2020-10-11 00:00:00","",""
"Epi Curve","53","53","2020-10-11 00:00:00","2020-10-10 00:00:00","",""
"Epi Curve","46","46","2020-10-10 00:00:00","2020-10-09 00:00:00","",""
"Epi Curve","49","49","2020-10-09 00:00:00","2020-10-08 00:00:00","",""
"Epi Curve","43","43","2020-10-08 00:00:00","2020-10-07 00:00:00","",""
"Epi Curve","52","52","2020-10-07 00:00:00","2020-10-06 00:00:00","",""
"Epi Curve","44","44","2020-10-06 00:00:00","2020-10-05 00:00:00","",""
"Epi Curve","52","52","2020-10-05 00:00:00","2020-10-04 00:00:00","",""
"Epi Curve","42","42","2020-10-04 00:00:00","2020-10-03 00:00:00","",""
"Epi Curve","40","40","2020-10-03 00:00:00","2020-10-02 00:00:00","",""
"Epi Curve","46","46","2020-10-02 00:00:00","2020-10-01 00:00:00","",""
"Epi Curve","39","39","2020-10-01 00:00:00","2020-09-30 00:00:00","",""
"Epi Curve","38","38","2020-09-30 00:00:00","2020-09-29 00:00:00","",""
"Epi Curve","30","30","2020-09-29 00:00:00","2020-09-28 00:00:00","",""
"Epi Curve","47","47","2020-09-28 00:00:00","2020-09-27 00:00:00","",""
"Epi Curve","37","37","2020-09-27 00:00:00","2020-09-26 00:00:00","",""
"Epi Curve","36","36","2020-09-26 00:00:00","2020-09-25 00:00:00","",""
"Epi Curve","29","29","2020-09-25 00:00:00","2020-09-24 00:00:00","",""
