"Hospital number","21525","","","","",""
"Hospital percent","0.104508554893088","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","7449","7449","",""
"Age Group","55-64y","55 - 64 years","4013","4013","",""
"Age Group","45-54y","45 - 54 years","3508","3508","",""
"Age Group","20-44y","20 - 44 years","5781","5781","",""
"Age Group","<20y","Less than 20 years","773","773","",""
"Race/Ethnicity","UNKNOWN","Unknown","1891","0.0878513356562137","0.0878513356562137",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","780","0.0362369337979094","0.0362369337979094",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","280","0.0130081300813008","0.0130081300813008",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1006","0.0467363530778165","0.0467363530778165",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1937","0.0899883855981417","0.0899883855981417",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7980","0.370731707317073","0.370731707317073",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7651","0.355447154471545","0.355447154471545",""
"Gender","Male","11044","0.513197026022305","0.513197026022305","",""
"Gender","Female","10476","0.486802973977695","0.486802973977695","",""
"Date Updated"," ","","","","",""
"Epi Curve","4","4","2020-09-05 00:00:00","2020-09-04 00:00:00","",""
"Epi Curve","8","8","2020-09-04 00:00:00","2020-09-03 00:00:00","",""
"Epi Curve","12","12","2020-09-03 00:00:00","2020-09-02 00:00:00","",""
"Epi Curve","19","19","2020-09-02 00:00:00","2020-09-01 00:00:00","",""
"Epi Curve","17","17","2020-09-01 00:00:00","2020-08-31 00:00:00","",""
"Epi Curve","22","22","2020-08-31 00:00:00","2020-08-30 00:00:00","",""
"Epi Curve","25","25","2020-08-30 00:00:00","2020-08-29 00:00:00","",""
"Epi Curve","29","29","2020-08-29 00:00:00","2020-08-28 00:00:00","",""
"Epi Curve","32","32","2020-08-28 00:00:00","2020-08-27 00:00:00","",""
"Epi Curve","40","40","2020-08-27 00:00:00","2020-08-26 00:00:00","",""
"Epi Curve","36","36","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
"Epi Curve","25","25","2020-08-25 00:00:00","2020-08-24 00:00:00","",""
"Epi Curve","33","33","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","30","30","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
"Epi Curve","46","46","2020-08-22 00:00:00","2020-08-21 00:00:00","",""
"Epi Curve","56","56","2020-08-21 00:00:00","2020-08-20 00:00:00","",""
"Epi Curve","86","86","2020-08-20 00:00:00","2020-08-19 00:00:00","",""
"Epi Curve","86","86","2020-08-19 00:00:00","2020-08-18 00:00:00","",""
"Epi Curve","90","90","2020-08-18 00:00:00","2020-08-17 00:00:00","",""
"Epi Curve","82","82","2020-08-17 00:00:00","2020-08-16 00:00:00","",""
"Epi Curve","67","67","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","60","60","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","67","67","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","87","87","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","108","108","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","114","114","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","109","109","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","72","72","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","91","91","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","118","118","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","123","123","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","137","137","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","173","173","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","189","189","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","134","134","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","89","89","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","173","173","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","198","198","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","175","175","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","231","231","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","300","300","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","165","165","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","220","220","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","273","273","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","315","315","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","299","299","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","313","313","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","365","365","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","273","273","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","305","305","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","361","361","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","419","419","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
