"Hospital number","5750","","","","",""
"Hospital percent","0.0479446343700492","","","","",""
"Info Button"," ","","","","",""
"Age Group","65+","65 years and older","2423","2423","",""
"Age Group","55-64y","55 - 64 years","1066","1066","",""
"Age Group","45-54y","45 - 54 years","903","903","",""
"Age Group","20-44y","20 - 44 years","1265","1265","",""
"Age Group","<20y","Less than 20 years","93","93","",""
"Race/Ethnicity","UNKNOWN","Unknown","356","0.0619130434782609","0.0619130434782609",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","102","0.0177391304347826","0.0177391304347826",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","93","0.0161739130434783","0.0161739130434783",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","278","0.0483478260869565","0.0483478260869565",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","743","0.129217391304348","0.129217391304348",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","2166","0.376695652173913","0.376695652173913",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","2012","0.349913043478261","0.349913043478261",""
"Gender","Male","2931","0.510005220114843","0.510005220114843","",""
"Gender","Female","2816","0.489994779885158","0.489994779885158","",""
"Date Updated"," ","","","","",""
"Epi Curve","3","3","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","13","13","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","18","18","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","20","20","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","18","18","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","24","24","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","29","29","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","36","36","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","46","46","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","41","41","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","57","57","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","40","40","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","47","47","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","56","56","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","61","61","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","62","62","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","65","65","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","75","75","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","71","71","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","57","57","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","84","84","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","75","75","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","74","74","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","85","85","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","113","113","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","76","76","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","76","76","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
"Epi Curve","77","77","2020-06-12 00:00:00","2020-06-11 00:00:00","",""
"Epi Curve","80","80","2020-06-11 00:00:00","2020-06-10 00:00:00","",""
"Epi Curve","75","75","2020-06-10 00:00:00","2020-06-09 00:00:00","",""
"Epi Curve","88","88","2020-06-09 00:00:00","2020-06-08 00:00:00","",""
"Epi Curve","97","97","2020-06-08 00:00:00","2020-06-07 00:00:00","",""
"Epi Curve","77","77","2020-06-07 00:00:00","2020-06-06 00:00:00","",""
"Epi Curve","72","72","2020-06-06 00:00:00","2020-06-05 00:00:00","",""
"Epi Curve","78","78","2020-06-05 00:00:00","2020-06-04 00:00:00","",""
"Epi Curve","55","55","2020-06-04 00:00:00","2020-06-03 00:00:00","",""
"Epi Curve","76","76","2020-06-03 00:00:00","2020-06-02 00:00:00","",""
"Epi Curve","79","79","2020-06-02 00:00:00","2020-06-01 00:00:00","",""
"Epi Curve","74","74","2020-06-01 00:00:00","2020-05-31 00:00:00","",""
"Epi Curve","51","51","2020-05-31 00:00:00","2020-05-30 00:00:00","",""
