"Hospital number","10060","","","","",""
"Hospital percent","0.05978380369994","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","4277","4277","",""
"Age Group","55-64y","55 - 64 years","1770","1770","",""
"Age Group","45-54y","45 - 54 years","1457","1457","",""
"Age Group","20-44y","20 - 44 years","2275","2275","",""
"Age Group","<20y","Less than 20 years","280","280","",""
"Race/Ethnicity","UNKNOWN","Unknown","1013","0.100695825049702","0.100695825049702",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","204","0.0202783300198807","0.0202783300198807",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","138","0.0137176938369781","0.0137176938369781",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","457","0.045427435387674","0.045427435387674",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","932","0.0926441351888668","0.0926441351888668",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","3717","0.36948310139165","0.36948310139165",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","3599","0.357753479125249","0.357753479125249",""
"Gender","Male","5134","0.510540970564837","0.510540970564837","",""
"Gender","Female","4922","0.489459029435163","0.489459029435163","",""
"Date Updated"," ","","","","",""
"Epi Curve","5","5","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","24","24","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","10","10","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","33","33","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","42","42","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","187","187","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","158","158","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","145","145","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","159","159","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","171","171","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","167","167","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","168","168","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","184","184","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","198","198","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","246","246","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","273","273","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","187","187","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","202","202","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","204","204","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","142","142","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","87","87","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","110","110","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","118","118","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","91","91","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","79","79","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","102","102","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","113","113","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","139","139","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","123","123","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","141","141","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","95","95","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","110","110","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","117","117","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","103","103","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","111","111","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","116","116","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","130","130","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","109","109","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","80","80","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","119","119","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","97","97","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","81","81","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","94","94","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","120","120","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","82","82","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","89","89","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
"Epi Curve","85","85","2020-06-12 00:00:00","2020-06-11 00:00:00","",""
"Epi Curve","80","80","2020-06-11 00:00:00","2020-06-10 00:00:00","",""
"Epi Curve","81","81","2020-06-10 00:00:00","2020-06-09 00:00:00","",""
"Epi Curve","96","96","2020-06-09 00:00:00","2020-06-08 00:00:00","",""
"Epi Curve","104","104","2020-06-08 00:00:00","2020-06-07 00:00:00","",""
"Epi Curve","81","81","2020-06-07 00:00:00","2020-06-06 00:00:00","",""
"Epi Curve","74","74","2020-06-06 00:00:00","2020-06-05 00:00:00","",""
"Epi Curve","80","80","2020-06-05 00:00:00","2020-06-04 00:00:00","",""
"Epi Curve","62","62","2020-06-04 00:00:00","2020-06-03 00:00:00","",""
"Epi Curve","77","77","2020-06-03 00:00:00","2020-06-02 00:00:00","",""
"Epi Curve","81","81","2020-06-02 00:00:00","2020-06-01 00:00:00","",""
"Epi Curve","74","74","2020-06-01 00:00:00","2020-05-31 00:00:00","",""
"Epi Curve","51","51","2020-05-31 00:00:00","2020-05-30 00:00:00","",""
"Epi Curve","56","56","2020-05-30 00:00:00","2020-05-29 00:00:00","",""
"Epi Curve","61","61","2020-05-29 00:00:00","2020-05-28 00:00:00","",""
"Epi Curve","56","56","2020-05-28 00:00:00","2020-05-27 00:00:00","",""
"Epi Curve","53","53","2020-05-27 00:00:00","2020-05-26 00:00:00","",""
"Epi Curve","47","47","2020-05-26 00:00:00","2020-05-25 00:00:00","",""
"Epi Curve","51","51","2020-05-25 00:00:00","2020-05-24 00:00:00","",""
"Epi Curve","43","43","2020-05-24 00:00:00","2020-05-23 00:00:00","",""
"Epi Curve","41","41","2020-05-23 00:00:00","2020-05-22 00:00:00","",""
"Epi Curve","58","58","2020-05-22 00:00:00","2020-05-21 00:00:00","",""
"Epi Curve","49","49","2020-05-21 00:00:00","2020-05-20 00:00:00","",""
"Epi Curve","40","40","2020-05-20 00:00:00","2020-05-19 00:00:00","",""
"Epi Curve","42","42","2020-05-19 00:00:00","2020-05-18 00:00:00","",""
"Epi Curve","57","57","2020-05-18 00:00:00","2020-05-17 00:00:00","",""
"Epi Curve","30","30","2020-05-17 00:00:00","2020-05-16 00:00:00","",""
"Epi Curve","38","38","2020-05-16 00:00:00","2020-05-15 00:00:00","",""
"Epi Curve","44","44","2020-05-15 00:00:00","2020-05-14 00:00:00","",""
"Epi Curve","52","52","2020-05-14 00:00:00","2020-05-13 00:00:00","",""
"Epi Curve","39","39","2020-05-13 00:00:00","2020-05-12 00:00:00","",""
"Epi Curve","43","43","2020-05-12 00:00:00","2020-05-11 00:00:00","",""
"Epi Curve","42","42","2020-05-11 00:00:00","2020-05-10 00:00:00","",""
"Epi Curve","35","35","2020-05-10 00:00:00","2020-05-09 00:00:00","",""
"Epi Curve","37","37","2020-05-09 00:00:00","2020-05-08 00:00:00","",""
"Epi Curve","57","57","2020-05-08 00:00:00","2020-05-07 00:00:00","",""
"Epi Curve","48","48","2020-05-07 00:00:00","2020-05-06 00:00:00","",""
"Epi Curve","53","53","2020-05-06 00:00:00","2020-05-05 00:00:00","",""
"Epi Curve","57","57","2020-05-05 00:00:00","2020-05-04 00:00:00","",""
"Epi Curve","47","47","2020-05-04 00:00:00","2020-05-03 00:00:00","",""
"Epi Curve","55","55","2020-05-03 00:00:00","2020-05-02 00:00:00","",""
"Epi Curve","46","46","2020-05-02 00:00:00","2020-05-01 00:00:00","",""
"Epi Curve","49","49","2020-05-01 00:00:00","2020-04-30 00:00:00","",""
"Epi Curve","53","53","2020-04-30 00:00:00","2020-04-29 00:00:00","",""
"Epi Curve","60","60","2020-04-29 00:00:00","2020-04-28 00:00:00","",""
"Epi Curve","51","51","2020-04-28 00:00:00","2020-04-27 00:00:00","",""
"Epi Curve","57","57","2020-04-27 00:00:00","2020-04-26 00:00:00","",""
"Epi Curve","44","44","2020-04-26 00:00:00","2020-04-25 00:00:00","",""
"Epi Curve","46","46","2020-04-25 00:00:00","2020-04-24 00:00:00","",""
"Epi Curve","54","54","2020-04-24 00:00:00","2020-04-23 00:00:00","",""
"Epi Curve","44","44","2020-04-23 00:00:00","2020-04-22 00:00:00","",""
"Epi Curve","44","44","2020-04-22 00:00:00","2020-04-21 00:00:00","",""
"Epi Curve","30","30","2020-04-21 00:00:00","2020-04-20 00:00:00","",""
"Epi Curve","67","67","2020-04-20 00:00:00","2020-04-19 00:00:00","",""
"Epi Curve","47","47","2020-04-19 00:00:00","2020-04-18 00:00:00","",""
"Epi Curve","51","51","2020-04-18 00:00:00","2020-04-17 00:00:00","",""
"Epi Curve","31","31","2020-04-17 00:00:00","2020-04-16 00:00:00","",""
"Epi Curve","44","44","2020-04-16 00:00:00","2020-04-15 00:00:00","",""
"Epi Curve","43","43","2020-04-15 00:00:00","2020-04-14 00:00:00","",""
"Epi Curve","50","50","2020-04-14 00:00:00","2020-04-13 00:00:00","",""
"Epi Curve","48","48","2020-04-13 00:00:00","2020-04-12 00:00:00","",""
"Epi Curve","38","38","2020-04-12 00:00:00","2020-04-11 00:00:00","",""
"Epi Curve","42","42","2020-04-11 00:00:00","2020-04-10 00:00:00","",""
"Epi Curve","46","46","2020-04-10 00:00:00","2020-04-09 00:00:00","",""
"Epi Curve","44","44","2020-04-09 00:00:00","2020-04-08 00:00:00","",""
"Epi Curve","54","54","2020-04-08 00:00:00","2020-04-07 00:00:00","",""
"Epi Curve","34","34","2020-04-07 00:00:00","2020-04-06 00:00:00","",""
"Epi Curve","59","59","2020-04-06 00:00:00","2020-04-05 00:00:00","",""
"Epi Curve","49","49","2020-04-05 00:00:00","2020-04-04 00:00:00","",""
"Epi Curve","44","44","2020-04-04 00:00:00","2020-04-03 00:00:00","",""
"Epi Curve","51","51","2020-04-03 00:00:00","2020-04-02 00:00:00","",""
"Epi Curve","34","34","2020-04-02 00:00:00","2020-04-01 00:00:00","",""
"Epi Curve","48","48","2020-04-01 00:00:00","2020-03-31 00:00:00","",""
"Epi Curve","55","55","2020-03-31 00:00:00","2020-03-30 00:00:00","",""
"Epi Curve","52","52","2020-03-30 00:00:00","2020-03-29 00:00:00","",""
"Epi Curve","41","41","2020-03-29 00:00:00","2020-03-28 00:00:00","",""
"Epi Curve","43","43","2020-03-28 00:00:00","2020-03-27 00:00:00","",""
"Epi Curve","40","40","2020-03-27 00:00:00","2020-03-26 00:00:00","",""
"Epi Curve","39","39","2020-03-26 00:00:00","2020-03-25 00:00:00","",""
"Epi Curve","45","45","2020-03-25 00:00:00","2020-03-24 00:00:00","",""
"Epi Curve","30","30","2020-03-24 00:00:00","2020-03-23 00:00:00","",""
"Epi Curve","45","45","2020-03-23 00:00:00","2020-03-22 00:00:00","",""
"Epi Curve","17","17","2020-03-22 00:00:00","2020-03-21 00:00:00","",""
"Epi Curve","20","20","2020-03-21 00:00:00","2020-03-20 00:00:00","",""
"Epi Curve","22","22","2020-03-20 00:00:00","2020-03-19 00:00:00","",""
"Epi Curve","18","18","2020-03-19 00:00:00","2020-03-18 00:00:00","",""
"Epi Curve","12","12","2020-03-18 00:00:00","2020-03-17 00:00:00","",""
"Epi Curve","13","13","2020-03-17 00:00:00","2020-03-16 00:00:00","",""
"Epi Curve","6","6","2020-03-16 00:00:00","2020-03-15 00:00:00","",""
"Epi Curve","10","10","2020-03-15 00:00:00","2020-03-14 00:00:00","",""
"Epi Curve","4","4","2020-03-14 00:00:00","2020-03-13 00:00:00","",""
"Epi Curve","6","6","2020-03-13 00:00:00","2020-03-12 00:00:00","",""
"Epi Curve","5","5","2020-03-12 00:00:00","2020-03-11 00:00:00","",""
"Epi Curve","3","3","2020-03-11 00:00:00","2020-03-09 00:00:00","",""
"Epi Curve","3","3","2020-03-09 00:00:00","2020-03-08 00:00:00","",""
"Epi Curve","1","1","2020-03-08 00:00:00","2020-03-06 00:00:00","",""
"Epi Curve","1","1","2020-03-06 00:00:00","2020-03-05 00:00:00","",""
"Epi Curve","1","1","2020-03-05 00:00:00","2020-03-04 00:00:00","",""
"Epi Curve","1","1","2020-03-04 00:00:00","2020-03-03 00:00:00","",""
"Epi Curve","1","1","2020-03-03 00:00:00","2020-02-28 00:00:00","",""
"Epi Curve","1","1","2020-02-28 00:00:00","2020-02-21 00:00:00","",""
"Epi Curve","1","1","2020-02-21 00:00:00","2020-01-04 00:00:00","",""
"Epi Curve","1","1","2020-01-04 00:00:00","","",""
"Map","Yuma","689","32.7539","-113.9364","",""
"Map","Yavapai","65","34.7064","-112.4429","",""
"Map","Santa Cruz","144","31.5332","-110.812","",""
"Map","Pinal","485","32.9849","-111.4931","",""
"Map","Pima","1165","31.9681","-111.7806","",""
"Map","Navajo","255","35.3134","-110.2972","",""
"Map","Mohave","268","35.6177","-113.9958","",""
"Map","Maricopa","6298","33.2798","-112.7681","",""
"Map","La Paz","23","33.6724","-113.9329","",""
"Map","Greenlee","","33.1001","-109.2714","",""
"Map","Graham","19","33.0361","-109.958","",""
"Map","Gila","87","33.7446","-110.685","",""
"Map","Coconino","311","35.6465","-112.0424","",""
"Map","Cochise","141","31.8901","-109.7497","",""
