"Hospital number","22019","","","","",""
"Hospital percent","0.101232127258517","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","4","4","",""
"Age Group","65+","65 years and older","7703","7703","",""
"Age Group","55-64y","55 - 64 years","4094","4094","",""
"Age Group","45-54y","45 - 54 years","3565","3565","",""
"Age Group","20-44y","20 - 44 years","5861","5861","",""
"Age Group","<20y","Less than 20 years","792","792","",""
"Race/Ethnicity","UNKNOWN","Unknown","1853","0.0841545937599346","0.0841545937599346",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","810","0.0367864117353195","0.0367864117353195",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","285","0.0129433670920569","0.0129433670920569",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1035","0.0470048594395749","0.0470048594395749",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2026","0.0920114446614288","0.0920114446614288",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8124","0.368954085108316","0.368954085108316",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7886","0.35814523820337","0.35814523820337",""
"Gender","Male","11298","0.513265491550064","0.513265491550064","",""
"Gender","Female","10714","0.486734508449936","0.486734508449936","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-09-27 00:00:00","2020-09-26 00:00:00","",""
"Epi Curve","3","3","2020-09-26 00:00:00","2020-09-25 00:00:00","",""
"Epi Curve","6","6","2020-09-25 00:00:00","2020-09-24 00:00:00","",""
"Epi Curve","20","20","2020-09-24 00:00:00","2020-09-23 00:00:00","",""
"Epi Curve","14","14","2020-09-23 00:00:00","2020-09-22 00:00:00","",""
"Epi Curve","24","24","2020-09-22 00:00:00","2020-09-21 00:00:00","",""
"Epi Curve","29","29","2020-09-21 00:00:00","2020-09-20 00:00:00","",""
"Epi Curve","27","27","2020-09-20 00:00:00","2020-09-19 00:00:00","",""
"Epi Curve","12","12","2020-09-19 00:00:00","2020-09-18 00:00:00","",""
"Epi Curve","17","17","2020-09-18 00:00:00","2020-09-17 00:00:00","",""
"Epi Curve","22","22","2020-09-17 00:00:00","2020-09-16 00:00:00","",""
"Epi Curve","19","19","2020-09-16 00:00:00","2020-09-15 00:00:00","",""
"Epi Curve","23","23","2020-09-15 00:00:00","2020-09-14 00:00:00","",""
"Epi Curve","24","24","2020-09-14 00:00:00","2020-09-13 00:00:00","",""
"Epi Curve","15","15","2020-09-13 00:00:00","2020-09-12 00:00:00","",""
"Epi Curve","14","14","2020-09-12 00:00:00","2020-09-11 00:00:00","",""
"Epi Curve","17","17","2020-09-11 00:00:00","2020-09-10 00:00:00","",""
"Epi Curve","21","21","2020-09-10 00:00:00","2020-09-09 00:00:00","",""
"Epi Curve","24","24","2020-09-09 00:00:00","2020-09-08 00:00:00","",""
"Epi Curve","24","24","2020-09-08 00:00:00","2020-09-07 00:00:00","",""
"Epi Curve","25","25","2020-09-07 00:00:00","2020-09-06 00:00:00","",""
"Epi Curve","28","28","2020-09-06 00:00:00","2020-09-05 00:00:00","",""
"Epi Curve","25","25","2020-09-05 00:00:00","2020-09-04 00:00:00","",""
"Epi Curve","24","24","2020-09-04 00:00:00","2020-09-03 00:00:00","",""
"Epi Curve","29","29","2020-09-03 00:00:00","2020-09-02 00:00:00","",""
"Epi Curve","33","33","2020-09-02 00:00:00","2020-09-01 00:00:00","",""
"Epi Curve","27","27","2020-09-01 00:00:00","2020-08-31 00:00:00","",""
"Epi Curve","33","33","2020-08-31 00:00:00","2020-08-30 00:00:00","",""
"Epi Curve","32","32","2020-08-30 00:00:00","2020-08-29 00:00:00","",""
"Epi Curve","36","36","2020-08-29 00:00:00","2020-08-28 00:00:00","",""
"Epi Curve","41","41","2020-08-28 00:00:00","2020-08-27 00:00:00","",""
"Epi Curve","47","47","2020-08-27 00:00:00","2020-08-26 00:00:00","",""
"Epi Curve","47","47","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
"Epi Curve","31","31","2020-08-25 00:00:00","2020-08-24 00:00:00","",""
"Epi Curve","39","39","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","38","38","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
"Epi Curve","55","55","2020-08-22 00:00:00","2020-08-21 00:00:00","",""
"Epi Curve","62","62","2020-08-21 00:00:00","2020-08-20 00:00:00","",""
"Epi Curve","84","84","2020-08-20 00:00:00","2020-08-19 00:00:00","",""
"Epi Curve","79","79","2020-08-19 00:00:00","2020-08-18 00:00:00","",""
"Epi Curve","88","88","2020-08-18 00:00:00","2020-08-17 00:00:00","",""
"Epi Curve","84","84","2020-08-17 00:00:00","2020-08-16 00:00:00","",""
"Epi Curve","65","65","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","62","62","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","67","67","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","87","87","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","105","105","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","112","112","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","108","108","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","70","70","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","94","94","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","108","108","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","121","121","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","137","137","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","168","168","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","186","186","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","138","138","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","90","90","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","176","176","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","199","199","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","173","173","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","229","229","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","297","297","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","165","165","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","217","217","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","264","264","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","315","315","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","292","292","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","304","304","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","360","360","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","273","273","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","304","304","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","356","356","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","413","413","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","497","497","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","555","555","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","555","555","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","345","345","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","421","421","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","379","379","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","317","317","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","281","281","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","290","290","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","326","326","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","293","293","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","277","277","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","284","284","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","295","295","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","314","314","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","321","321","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","292","292","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","233","233","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","245","245","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","265","265","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","267","267","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","243","243","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","244","244","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","249","249","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","203","203","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","180","180","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","224","224","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","185","185","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","170","170","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","174","174","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","190","190","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","135","135","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","144","144","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
"Epi Curve","135","135","2020-06-12 00:00:00","2020-06-11 00:00:00","",""
"Epi Curve","133","133","2020-06-11 00:00:00","2020-06-10 00:00:00","",""
