"Hospital number","21365","","","","",""
"Hospital percent","0.107214725527292","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","2","2","",""
"Age Group","65+","65 years and older","7293","7293","",""
"Age Group","55-64y","55 - 64 years","3951","3951","",""
"Age Group","45-54y","45 - 54 years","3466","3466","",""
"Age Group","20-44y","20 - 44 years","5753","5753","",""
"Age Group","<20y","Less than 20 years","900","900","",""
"Race/Ethnicity","UNKNOWN","Unknown","2037","0.0953428504563539","0.0953428504563539",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","758","0.0354785864732038","0.0354785864732038",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","273","0.0127779077931196","0.0127779077931196",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","994","0.0465246899134098","0.0465246899134098",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1874","0.0877135501989235","0.0877135501989235",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7873","0.368499882986192","0.368499882986192",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7556","0.353662532178797","0.353662532178797",""
"Gender","Male","10955","0.512874531835206","0.512874531835206","",""
"Gender","Female","10405","0.487125468164794","0.487125468164794","",""
"Date Updated"," ","","","","",""
"Epi Curve","3","3","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","8","8","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
"Epi Curve","12","12","2020-08-22 00:00:00","2020-08-21 00:00:00","",""
"Epi Curve","38","38","2020-08-21 00:00:00","2020-08-20 00:00:00","",""
"Epi Curve","64","64","2020-08-20 00:00:00","2020-08-19 00:00:00","",""
"Epi Curve","88","88","2020-08-19 00:00:00","2020-08-18 00:00:00","",""
"Epi Curve","91","91","2020-08-18 00:00:00","2020-08-17 00:00:00","",""
"Epi Curve","78","78","2020-08-17 00:00:00","2020-08-16 00:00:00","",""
"Epi Curve","73","73","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","66","66","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","76","76","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","93","93","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","107","107","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","118","118","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","111","111","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","74","74","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
