"Hospital number","21593","","","","",""
"Hospital percent","0.104545828673242","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","2","2","",""
"Age Group","65+","65 years and older","7479","7479","",""
"Age Group","55-64y","55 - 64 years","4026","4026","",""
"Age Group","45-54y","45 - 54 years","3514","3514","",""
"Age Group","20-44y","20 - 44 years","5793","5793","",""
"Age Group","<20y","Less than 20 years","779","779","",""
"Race/Ethnicity","UNKNOWN","Unknown","1914","0.0886398369842078","0.0886398369842078",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","782","0.0362154401889501","0.0362154401889501",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","282","0.013059787894225","0.013059787894225",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1008","0.0466817950261659","0.0466817950261659",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1945","0.0900754874264808","0.0900754874264808",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8000","0.370490436715602","0.370490436715602",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7662","0.354837215764368","0.354837215764368",""
"Gender","Male","11087","0.513572355012044","0.513572355012044","",""
"Gender","Female","10501","0.486427644987956","0.486427644987956","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-09-08 00:00:00","2020-09-07 00:00:00","",""
"Epi Curve","5","5","2020-09-07 00:00:00","2020-09-06 00:00:00","",""
"Epi Curve","5","5","2020-09-06 00:00:00","2020-09-05 00:00:00","",""
"Epi Curve","18","18","2020-09-05 00:00:00","2020-09-04 00:00:00","",""
"Epi Curve","21","21","2020-09-04 00:00:00","2020-09-03 00:00:00","",""
"Epi Curve","23","23","2020-09-03 00:00:00","2020-09-02 00:00:00","",""
"Epi Curve","28","28","2020-09-02 00:00:00","2020-09-01 00:00:00","",""
"Epi Curve","17","17","2020-09-01 00:00:00","2020-08-31 00:00:00","",""
"Epi Curve","24","24","2020-08-31 00:00:00","2020-08-30 00:00:00","",""
"Epi Curve","25","25","2020-08-30 00:00:00","2020-08-29 00:00:00","",""
"Epi Curve","32","32","2020-08-29 00:00:00","2020-08-28 00:00:00","",""
"Epi Curve","33","33","2020-08-28 00:00:00","2020-08-27 00:00:00","",""
"Epi Curve","43","43","2020-08-27 00:00:00","2020-08-26 00:00:00","",""
"Epi Curve","36","36","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
"Epi Curve","26","26","2020-08-25 00:00:00","2020-08-24 00:00:00","",""
"Epi Curve","33","33","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","31","31","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
"Epi Curve","46","46","2020-08-22 00:00:00","2020-08-21 00:00:00","",""
"Epi Curve","56","56","2020-08-21 00:00:00","2020-08-20 00:00:00","",""
"Epi Curve","86","86","2020-08-20 00:00:00","2020-08-19 00:00:00","",""
"Epi Curve","84","84","2020-08-19 00:00:00","2020-08-18 00:00:00","",""
"Epi Curve","89","89","2020-08-18 00:00:00","2020-08-17 00:00:00","",""
"Epi Curve","82","82","2020-08-17 00:00:00","2020-08-16 00:00:00","",""
"Epi Curve","67","67","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","61","61","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","69","69","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","88","88","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","108","108","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","114","114","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","108","108","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","71","71","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","91","91","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","118","118","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","121","121","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","136","136","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
