"Hospital number","5942","","","","",""
"Hospital percent","0.0463867225618086","","","","",""
"Info Button"," ","","","","",""
"Age Group","65+","65 years and older","2548","2548","",""
"Age Group","55-64y","55 - 64 years","1085","1085","",""
"Age Group","45-54y","45 - 54 years","923","923","",""
"Age Group","20-44y","20 - 44 years","1290","1290","",""
"Age Group","<20y","Less than 20 years","96","96","",""
"Race/Ethnicity","UNKNOWN","Unknown","347","0.0583978458431505","0.0583978458431505",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","104","0.0175025244025581","0.0175025244025581",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","97","0.0163244698754628","0.0163244698754628",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","283","0.0476270615954224","0.0476270615954224",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","752","0.126556714910805","0.126556714910805",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","2265","0.38118478626725","0.38118478626725",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","2094","0.352406597105352","0.352406597105352",""
"Gender","Male","3038","0.511533928270753","0.511533928270753","",""
"Gender","Female","2901","0.488466071729247","0.488466071729247","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-07-12 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","9","9","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","11","11","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","20","20","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","32","32","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","34","34","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","20","20","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","28","28","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
