"Hospital number","19277","","","","",""
"Hospital percent","0.102798056771703","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","6724","6724","",""
"Age Group","55-64y","55 - 64 years","3486","3486","",""
"Age Group","45-54y","45 - 54 years","3093","3093","",""
"Age Group","20-44y","20 - 44 years","5125","5125","",""
"Age Group","<20y","Less than 20 years","848","848","",""
"Race/Ethnicity","UNKNOWN","Unknown","2786","0.144524562950667","0.144524562950667",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","552","0.028635161072781","0.028635161072781",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","255","0.0132281994086217","0.0132281994086217",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","860","0.0446127509467241","0.0446127509467241",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1554","0.0806142034548944","0.0806142034548944",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","6794","0.35244073247912","0.35244073247912",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","6476","0.335944389687192","0.335944389687192",""
"Gender","Male","9860","0.511649628976182","0.511649628976182","",""
"Gender","Female","9411","0.488350371023818","0.488350371023818","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","1","1","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","5","5","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","9","9","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","19","19","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","27","27","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","48","48","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","155","155","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","112","112","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","60","60","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","149","149","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","195","195","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","173","173","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","248","248","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","317","317","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","162","162","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","228","228","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","282","282","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","316","316","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","298","298","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","335","335","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","390","390","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","282","282","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","308","308","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","373","373","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","447","447","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
