"Hospital number","7047","","","","",""
"Hospital percent","0.0467900324681792","","","","",""
"Info Button"," ","","","","",""
"Age Group","65+","65 years and older","3169","3169","",""
"Age Group","55-64y","55 - 64 years","1259","1259","",""
"Age Group","45-54y","45 - 54 years","1051","1051","",""
"Age Group","20-44y","20 - 44 years","1457","1457","",""
"Age Group","<20y","Less than 20 years","111","111","",""
"Race/Ethnicity","UNKNOWN","Unknown","511","0.0725131261529729","0.0725131261529729",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","146","0.0207180360437065","0.0207180360437065",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","104","0.0147580530722293","0.0147580530722293",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","315","0.0446998722860792","0.0446998722860792",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","794","0.112672059032212","0.112672059032212",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","2707","0.384135092947353","0.384135092947353",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","2470","0.350503760465446","0.350503760465446",""
"Gender","Male","3641","0.516893810335037","0.516893810335037","",""
"Gender","Female","3403","0.483106189664963","0.483106189664963","",""
"Date Updated"," ","","","","",""
"Epi Curve","3","3","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","16","16","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","22","22","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","30","30","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","31","31","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","20","20","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","26","26","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","40","40","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","64","64","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","29","29","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","42","42","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","51","51","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","58","58","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","49","49","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","72","72","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","71","71","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","45","45","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","48","48","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","64","64","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","76","76","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","90","90","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","93","93","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","115","115","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
