"Hospital number","11346","","","","",""
"Hospital percent","0.0641009706105016","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","4628","4628","",""
"Age Group","55-64y","55 - 64 years","1923","1923","",""
"Age Group","45-54y","45 - 54 years","1651","1651","",""
"Age Group","20-44y","20 - 44 years","2728","2728","",""
"Age Group","<20y","Less than 20 years","415","415","",""
"Race/Ethnicity","UNKNOWN","Unknown","1382","0.12180504142429","0.12180504142429",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","226","0.0199189141547682","0.0199189141547682",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","149","0.0131323814560197","0.0131323814560197",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","510","0.0449497620306716","0.0449497620306716",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","977","0.0861096421646395","0.0861096421646395",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","4130","0.364004935660145","0.364004935660145",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","3972","0.350079323109466","0.350079323109466",""
"Gender","Male","5757","0.507627193369191","0.507627193369191","",""
"Gender","Female","5584","0.492372806630809","0.492372806630809","",""
"Date Updated"," ","","","","",""
"Epi Curve","5","5","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","23","23","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","25","25","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","37","37","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","56","56","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","105","105","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","132","132","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","178","178","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","218","218","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","165","165","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","149","149","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","168","168","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","171","171","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","172","172","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","200","200","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","236","236","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","349","349","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","367","367","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","426","426","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","244","244","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","260","260","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","211","211","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","158","158","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","98","98","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","125","125","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","131","131","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","101","101","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
