"Hospital number","22005","","","","",""
"Hospital percent","0.101486906551797","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","4","4","",""
"Age Group","65+","65 years and older","7692","7692","",""
"Age Group","55-64y","55 - 64 years","4092","4092","",""
"Age Group","45-54y","45 - 54 years","3566","3566","",""
"Age Group","20-44y","20 - 44 years","5859","5859","",""
"Age Group","<20y","Less than 20 years","792","792","",""
"Race/Ethnicity","UNKNOWN","Unknown","1853","0.084208134514883","0.084208134514883",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","810","0.0368098159509203","0.0368098159509203",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","285","0.0129516019086571","0.0129516019086571",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1033","0.0469438763917292","0.0469438763917292",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2025","0.0920245398773006","0.0920245398773006",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8121","0.369052488070893","0.369052488070893",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7878","0.358009543285617","0.358009543285617",""
"Gender","Male","11295","0.513455768706246","0.513455768706246","",""
"Gender","Female","10703","0.486544231293754","0.486544231293754","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-09-25 00:00:00","2020-09-24 00:00:00","",""
"Epi Curve","12","12","2020-09-24 00:00:00","2020-09-23 00:00:00","",""
"Epi Curve","10","10","2020-09-23 00:00:00","2020-09-22 00:00:00","",""
"Epi Curve","24","24","2020-09-22 00:00:00","2020-09-21 00:00:00","",""
"Epi Curve","28","28","2020-09-21 00:00:00","2020-09-20 00:00:00","",""
"Epi Curve","26","26","2020-09-20 00:00:00","2020-09-19 00:00:00","",""
"Epi Curve","12","12","2020-09-19 00:00:00","2020-09-18 00:00:00","",""
"Epi Curve","17","17","2020-09-18 00:00:00","2020-09-17 00:00:00","",""
"Epi Curve","22","22","2020-09-17 00:00:00","2020-09-16 00:00:00","",""
"Epi Curve","19","19","2020-09-16 00:00:00","2020-09-15 00:00:00","",""
"Epi Curve","23","23","2020-09-15 00:00:00","2020-09-14 00:00:00","",""
"Epi Curve","24","24","2020-09-14 00:00:00","2020-09-13 00:00:00","",""
