"Hospital number","22047","","","","",""
"Hospital percent","0.101047739522605","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","4","4","",""
"Age Group","65+","65 years and older","7717","7717","",""
"Age Group","55-64y","55 - 64 years","4096","4096","",""
"Age Group","45-54y","45 - 54 years","3570","3570","",""
"Age Group","20-44y","20 - 44 years","5866","5866","",""
"Age Group","<20y","Less than 20 years","794","794","",""
"Race/Ethnicity","UNKNOWN","Unknown","1846","0.0837302127273552","0.0837302127273552",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","808","0.0366489771851046","0.0366489771851046",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","286","0.012972286478886","0.012972286478886",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1039","0.0471265931872817","0.0471265931872817",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2034","0.0922574499931964","0.0922574499931964",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8130","0.368757654102599","0.368757654102599",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7904","0.358506826325577","0.358506826325577",""
"Gender","Male","11308","0.513067150635209","0.513067150635209","",""
"Gender","Female","10732","0.486932849364791","0.486932849364791","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-09-28 00:00:00","2020-09-27 00:00:00","",""
"Epi Curve","12","12","2020-09-27 00:00:00","2020-09-26 00:00:00","",""
"Epi Curve","12","12","2020-09-26 00:00:00","2020-09-25 00:00:00","",""
"Epi Curve","10","10","2020-09-25 00:00:00","2020-09-24 00:00:00","",""
"Epi Curve","22","22","2020-09-24 00:00:00","2020-09-23 00:00:00","",""
"Epi Curve","14","14","2020-09-23 00:00:00","2020-09-22 00:00:00","",""
"Epi Curve","25","25","2020-09-22 00:00:00","2020-09-21 00:00:00","",""
"Epi Curve","28","28","2020-09-21 00:00:00","2020-09-20 00:00:00","",""
"Epi Curve","27","27","2020-09-20 00:00:00","2020-09-19 00:00:00","",""
"Epi Curve","11","11","2020-09-19 00:00:00","2020-09-18 00:00:00","",""
"Epi Curve","18","18","2020-09-18 00:00:00","2020-09-17 00:00:00","",""
"Epi Curve","22","22","2020-09-17 00:00:00","2020-09-16 00:00:00","",""
"Epi Curve","20","20","2020-09-16 00:00:00","2020-09-15 00:00:00","",""
"Epi Curve","23","23","2020-09-15 00:00:00","2020-09-14 00:00:00","",""
"Epi Curve","25","25","2020-09-14 00:00:00","2020-09-13 00:00:00","",""
"Epi Curve","16","16","2020-09-13 00:00:00","2020-09-12 00:00:00","",""
"Epi Curve","14","14","2020-09-12 00:00:00","2020-09-11 00:00:00","",""
"Epi Curve","18","18","2020-09-11 00:00:00","2020-09-10 00:00:00","",""
"Epi Curve","21","21","2020-09-10 00:00:00","2020-09-09 00:00:00","",""
"Epi Curve","24","24","2020-09-09 00:00:00","2020-09-08 00:00:00","",""
"Epi Curve","24","24","2020-09-08 00:00:00","2020-09-07 00:00:00","",""
"Epi Curve","25","25","2020-09-07 00:00:00","2020-09-06 00:00:00","",""
"Epi Curve","28","28","2020-09-06 00:00:00","2020-09-05 00:00:00","",""
"Epi Curve","25","25","2020-09-05 00:00:00","2020-09-04 00:00:00","",""
"Epi Curve","24","24","2020-09-04 00:00:00","2020-09-03 00:00:00","",""
"Epi Curve","29","29","2020-09-03 00:00:00","2020-09-02 00:00:00","",""
"Epi Curve","33","33","2020-09-02 00:00:00","2020-09-01 00:00:00","",""
"Epi Curve","27","27","2020-09-01 00:00:00","2020-08-31 00:00:00","",""
"Epi Curve","33","33","2020-08-31 00:00:00","2020-08-30 00:00:00","",""
"Epi Curve","32","32","2020-08-30 00:00:00","2020-08-29 00:00:00","",""
"Epi Curve","36","36","2020-08-29 00:00:00","2020-08-28 00:00:00","",""
"Epi Curve","40","40","2020-08-28 00:00:00","2020-08-27 00:00:00","",""
"Epi Curve","47","47","2020-08-27 00:00:00","2020-08-26 00:00:00","",""
"Epi Curve","47","47","2020-08-26 00:00:00","2020-08-25 00:00:00","",""
"Epi Curve","31","31","2020-08-25 00:00:00","2020-08-24 00:00:00","",""
"Epi Curve","39","39","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","38","38","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
