"Hospital number","21376","","","","",""
"Hospital percent","0.107169894564798","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","2","2","",""
"Age Group","65+","65 years and older","7313","7313","",""
"Age Group","55-64y","55 - 64 years","3956","3956","",""
"Age Group","45-54y","45 - 54 years","3472","3472","",""
"Age Group","20-44y","20 - 44 years","5755","5755","",""
"Age Group","<20y","Less than 20 years","878","878","",""
"Race/Ethnicity","UNKNOWN","Unknown","1911","0.0893993263473054","0.0893993263473054",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","768","0.0359281437125749","0.0359281437125749",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","280","0.0130988023952096","0.0130988023952096",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1008","0.0471556886227545","0.0471556886227545",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1883","0.0880894461077844","0.0880894461077844",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7926","0.370789670658683","0.370789670658683",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","7600","0.355538922155689","0.355538922155689",""
"Gender","Male","10969","0.51326564035375","0.51326564035375","",""
"Gender","Female","10402","0.48673435964625","0.48673435964625","",""
"Date Updated"," ","","","","",""
"Epi Curve","2","2","2020-08-25 00:00:00","2020-08-24 00:00:00","",""
"Epi Curve","13","13","2020-08-24 00:00:00","2020-08-23 00:00:00","",""
"Epi Curve","11","11","2020-08-23 00:00:00","2020-08-22 00:00:00","",""
"Epi Curve","36","36","2020-08-22 00:00:00","2020-08-21 00:00:00","",""
"Epi Curve","52","52","2020-08-21 00:00:00","2020-08-20 00:00:00","",""
"Epi Curve","81","81","2020-08-20 00:00:00","2020-08-19 00:00:00","",""
"Epi Curve","94","94","2020-08-19 00:00:00","2020-08-18 00:00:00","",""
"Epi Curve","89","89","2020-08-18 00:00:00","2020-08-17 00:00:00","",""
"Epi Curve","77","77","2020-08-17 00:00:00","2020-08-16 00:00:00","",""
"Epi Curve","75","75","2020-08-16 00:00:00","2020-08-15 00:00:00","",""
"Epi Curve","65","65","2020-08-15 00:00:00","2020-08-14 00:00:00","",""
"Epi Curve","76","76","2020-08-14 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","91","91","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","108","108","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","115","115","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","110","110","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","75","75","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","93","93","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","118","118","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","133","133","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","142","142","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","182","182","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","193","193","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","135","135","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","89","89","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","176","176","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","208","208","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","181","181","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","244","244","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","312","312","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","172","172","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","230","230","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","281","281","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","323","323","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","307","307","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","323","323","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","376","376","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","277","277","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","308","308","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","364","364","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","436","436","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","519","519","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","568","568","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","568","568","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","346","346","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","425","425","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","381","381","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","320","320","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","280","280","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","290","290","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","324","324","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","295","295","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","272","272","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","278","278","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","293","293","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","312","312","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","312","312","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","286","286","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","231","231","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","240","240","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","261","261","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","262","262","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","238","238","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","241","241","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","245","245","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","203","203","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","182","182","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
"Epi Curve","223","223","2020-06-19 00:00:00","2020-06-18 00:00:00","",""
"Epi Curve","187","187","2020-06-18 00:00:00","2020-06-17 00:00:00","",""
"Epi Curve","169","169","2020-06-17 00:00:00","2020-06-16 00:00:00","",""
"Epi Curve","170","170","2020-06-16 00:00:00","2020-06-15 00:00:00","",""
"Epi Curve","191","191","2020-06-15 00:00:00","2020-06-14 00:00:00","",""
"Epi Curve","135","135","2020-06-14 00:00:00","2020-06-13 00:00:00","",""
"Epi Curve","144","144","2020-06-13 00:00:00","2020-06-12 00:00:00","",""
