"Hospital number","22280","","","","",""
"Hospital percent","0.101089387882885","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","5","5","",""
"Age Group","65+","65 years and older","7821","7821","",""
"Age Group","55-64y","55 - 64 years","4153","4153","",""
"Age Group","45-54y","45 - 54 years","3592","3592","",""
"Age Group","20-44y","20 - 44 years","5912","5912","",""
"Age Group","<20y","Less than 20 years","797","797","",""
"Race/Ethnicity","UNKNOWN","Unknown","1818","0.0815978456014363","0.0815978456014363",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","809","0.036310592459605","0.036310592459605",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","294","0.0131956912028725","0.0131956912028725",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1049","0.0470825852782765","0.0470825852782765",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2060","0.09245960502693","0.09245960502693",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8226","0.369210053859964","0.369210053859964",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","8024","0.360143626570916","0.360143626570916",""
"Gender","Male","11424","0.512884978001257","0.512884978001257","",""
"Gender","Female","10850","0.487115021998743","0.487115021998743","",""
"Date Updated"," ","","","","",""
"Epi Curve","3","3","2020-10-02 00:00:00","2020-10-01 00:00:00","",""
"Epi Curve","9","9","2020-10-01 00:00:00","2020-09-30 00:00:00","",""
"Epi Curve","13","13","2020-09-30 00:00:00","2020-09-29 00:00:00","",""
"Epi Curve","29","29","2020-09-29 00:00:00","2020-09-28 00:00:00","",""
"Epi Curve","34","34","2020-09-28 00:00:00","2020-09-27 00:00:00","",""
"Epi Curve","35","35","2020-09-27 00:00:00","2020-09-26 00:00:00","",""
"Epi Curve","28","28","2020-09-26 00:00:00","2020-09-25 00:00:00","",""
"Epi Curve","24","24","2020-09-25 00:00:00","2020-09-24 00:00:00","",""
"Epi Curve","36","36","2020-09-24 00:00:00","2020-09-23 00:00:00","",""
"Epi Curve","23","23","2020-09-23 00:00:00","2020-09-22 00:00:00","",""
"Epi Curve","26","26","2020-09-22 00:00:00","2020-09-21 00:00:00","",""
