"Hospital number","20515","","","","",""
"Hospital percent","0.107004449173539","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","7079","7079","",""
"Age Group","55-64y","55 - 64 years","3751","3751","",""
"Age Group","45-54y","45 - 54 years","3296","3296","",""
"Age Group","20-44y","20 - 44 years","5449","5449","",""
"Age Group","<20y","Less than 20 years","939","939","",""
"Race/Ethnicity","UNKNOWN","Unknown","2910","0.141847428710699","0.141847428710699",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","589","0.0287106994881794","0.0287106994881794",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","260","0.0126736534243237","0.0126736534243237",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","927","0.0451864489398001","0.0451864489398001",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","1755","0.0855471606141847","0.0855471606141847",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","7220","0.351937606629296","0.351937606629296",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","6854","0.334097002193517","0.334097002193517",""
"Gender","Male","10502","0.512017941592316","0.512017941592316","",""
"Gender","Female","10009","0.487982058407684","0.487982058407684","",""
"Date Updated"," ","","","","",""
"Epi Curve","1","1","2020-08-27 00:00:00","2020-08-13 00:00:00","",""
"Epi Curve","2","2","2020-08-13 00:00:00","2020-08-12 00:00:00","",""
"Epi Curve","12","12","2020-08-12 00:00:00","2020-08-11 00:00:00","",""
"Epi Curve","18","18","2020-08-11 00:00:00","2020-08-10 00:00:00","",""
"Epi Curve","23","23","2020-08-10 00:00:00","2020-08-09 00:00:00","",""
"Epi Curve","27","27","2020-08-09 00:00:00","2020-08-08 00:00:00","",""
"Epi Curve","61","61","2020-08-08 00:00:00","2020-08-07 00:00:00","",""
"Epi Curve","103","103","2020-08-07 00:00:00","2020-08-06 00:00:00","",""
"Epi Curve","127","127","2020-08-06 00:00:00","2020-08-05 00:00:00","",""
"Epi Curve","143","143","2020-08-05 00:00:00","2020-08-04 00:00:00","",""
"Epi Curve","173","173","2020-08-04 00:00:00","2020-08-03 00:00:00","",""
"Epi Curve","196","196","2020-08-03 00:00:00","2020-08-02 00:00:00","",""
"Epi Curve","131","131","2020-08-02 00:00:00","2020-08-01 00:00:00","",""
"Epi Curve","80","80","2020-08-01 00:00:00","2020-07-31 00:00:00","",""
"Epi Curve","180","180","2020-07-31 00:00:00","2020-07-30 00:00:00","",""
"Epi Curve","209","209","2020-07-30 00:00:00","2020-07-29 00:00:00","",""
"Epi Curve","183","183","2020-07-29 00:00:00","2020-07-28 00:00:00","",""
"Epi Curve","271","271","2020-07-28 00:00:00","2020-07-27 00:00:00","",""
"Epi Curve","327","327","2020-07-27 00:00:00","2020-07-26 00:00:00","",""
"Epi Curve","177","177","2020-07-26 00:00:00","2020-07-25 00:00:00","",""
"Epi Curve","235","235","2020-07-25 00:00:00","2020-07-24 00:00:00","",""
"Epi Curve","299","299","2020-07-24 00:00:00","2020-07-23 00:00:00","",""
"Epi Curve","341","341","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","319","319","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","337","337","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","396","396","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","286","286","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","319","319","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","378","378","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","448","448","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","557","557","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","591","591","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","586","586","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","352","352","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","447","447","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","395","395","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
"Epi Curve","330","330","2020-07-09 00:00:00","2020-07-08 00:00:00","",""
"Epi Curve","280","280","2020-07-08 00:00:00","2020-07-07 00:00:00","",""
"Epi Curve","286","286","2020-07-07 00:00:00","2020-07-06 00:00:00","",""
"Epi Curve","318","318","2020-07-06 00:00:00","2020-07-05 00:00:00","",""
"Epi Curve","298","298","2020-07-05 00:00:00","2020-07-04 00:00:00","",""
"Epi Curve","272","272","2020-07-04 00:00:00","2020-07-03 00:00:00","",""
"Epi Curve","273","273","2020-07-03 00:00:00","2020-07-02 00:00:00","",""
"Epi Curve","294","294","2020-07-02 00:00:00","2020-07-01 00:00:00","",""
"Epi Curve","310","310","2020-07-01 00:00:00","2020-06-30 00:00:00","",""
"Epi Curve","311","311","2020-06-30 00:00:00","2020-06-29 00:00:00","",""
"Epi Curve","288","288","2020-06-29 00:00:00","2020-06-28 00:00:00","",""
"Epi Curve","229","229","2020-06-28 00:00:00","2020-06-27 00:00:00","",""
"Epi Curve","236","236","2020-06-27 00:00:00","2020-06-26 00:00:00","",""
"Epi Curve","260","260","2020-06-26 00:00:00","2020-06-25 00:00:00","",""
"Epi Curve","262","262","2020-06-25 00:00:00","2020-06-24 00:00:00","",""
"Epi Curve","238","238","2020-06-24 00:00:00","2020-06-23 00:00:00","",""
"Epi Curve","240","240","2020-06-23 00:00:00","2020-06-22 00:00:00","",""
"Epi Curve","246","246","2020-06-22 00:00:00","2020-06-21 00:00:00","",""
"Epi Curve","205","205","2020-06-21 00:00:00","2020-06-20 00:00:00","",""
"Epi Curve","183","183","2020-06-20 00:00:00","2020-06-19 00:00:00","",""
