"Hospital number","23243","","","","","",""
"Hospital percent","0.0830415582930803","","","","","",""
"Info Button"," ","","","","","",""
"Age Group","%null%","Unknown","5","5","","",""
"Age Group","65+","65 years and older","9214","9214","","",""
"Age Group","55-64y","55 - 64 years","4476","4476","","",""
"Age Group","45-54y","45 - 54 years","3635","3635","","",""
"Age Group","20-44y","20 - 44 years","5309","5309","","",""
"Age Group","<20y","Less than 20 years","604","604","","",""
"Race/Ethnicity","UNKNOWN","Unknown","1752","0.0753775330206944","0.0753775330206944","",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","723","0.0311061394828551","0.0311061394828551","",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","319","0.0137245622337908","0.0137245622337908","",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1064","0.0457772232500108","0.0457772232500108","",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2340","0.100675472185174","0.100675472185174","",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8202","0.352880437120854","0.352880437120854","",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","8843","0.380458632706621","0.380458632706621","",""
"Gender","Male","12059","0.519023844366015","0.519023844366015","","",""
"Gender","Female","11175","0.480976155633985","0.480976155633985","","",""
"Epi Curve","11","11","2020-11-15 00:00:00","2020-09-29 00:00:00","","",""
"Epi Curve","40","40","2020-11-14 00:00:00","2020-09-28 00:00:00","","",""
"Epi Curve","91","91","2020-11-13 00:00:00","2020-09-27 00:00:00","","",""
"Epi Curve","100","100","2020-11-12 00:00:00","2020-09-26 00:00:00","","",""
"Epi Curve","104","104","2020-11-11 00:00:00","2020-09-25 00:00:00","","",""
"Epi Curve","117","117","2020-11-10 00:00:00","2020-09-24 00:00:00","","",""
"Epi Curve","113","113","2020-11-09 00:00:00","2020-09-23 00:00:00","","",""
"Epi Curve","82","82","2020-11-08 00:00:00","2020-09-22 00:00:00","","",""
"Epi Curve","68","68","2020-11-07 00:00:00","2020-09-21 00:00:00","","",""
"Epi Curve","114","114","2020-11-06 00:00:00","2020-09-20 00:00:00","","",""
"Epi Curve","145","145","2020-11-05 00:00:00","2020-09-19 00:00:00","","",""
"Epi Curve","104","104","2020-11-04 00:00:00","2020-09-18 00:00:00","","",""
"Epi Curve","84","84","2020-11-03 00:00:00","2020-09-17 00:00:00","","",""
"Epi Curve","102","102","2020-11-02 00:00:00","2020-09-16 00:00:00","","",""
"Epi Curve","78","78","2020-11-01 00:00:00","2020-09-15 00:00:00","","",""
"Epi Curve","99","99","2020-10-31 00:00:00","2020-09-14 00:00:00","","",""
"Epi Curve","96","96","2020-10-30 00:00:00","2020-09-13 00:00:00","","",""
"Epi Curve","87","87","2020-10-29 00:00:00","2020-09-12 00:00:00","","",""
"Epi Curve","90","90","2020-10-28 00:00:00","2020-09-11 00:00:00","","",""
"Epi Curve","91","91","2020-10-27 00:00:00","2020-09-10 00:00:00","","",""
"Epi Curve","85","85","2020-10-26 00:00:00","2020-09-09 00:00:00","","",""
"Epi Curve","69","69","2020-10-25 00:00:00","2020-09-08 00:00:00","","",""
"Epi Curve","73","73","2020-10-24 00:00:00","2020-09-07 00:00:00","","",""
"Epi Curve","74","74","2020-10-23 00:00:00","2020-09-06 00:00:00","","",""
"Epi Curve","74","74","2020-10-22 00:00:00","2020-09-05 00:00:00","","",""
"Epi Curve","77","77","2020-10-21 00:00:00","2020-09-04 00:00:00","","",""
"Epi Curve","79","79","2020-10-20 00:00:00","2020-09-03 00:00:00","","",""
"Epi Curve","81","81","2020-10-19 00:00:00","2020-09-02 00:00:00","","",""
"Epi Curve","53","53","2020-10-18 00:00:00","2020-09-01 00:00:00","","",""
"Epi Curve","58","58","2020-10-17 00:00:00","2020-08-31 00:00:00","","",""
"Epi Curve","64","64","2020-10-16 00:00:00","2020-08-30 00:00:00","","",""
"Epi Curve","59","59","2020-10-15 00:00:00","2020-08-29 00:00:00","","",""
"Epi Curve","54","54","2020-10-14 00:00:00","2020-08-28 00:00:00","","",""
"Epi Curve","52","52","2020-10-13 00:00:00","2020-08-27 00:00:00","","",""
"Epi Curve","62","62","2020-10-12 00:00:00","2020-08-26 00:00:00","","",""
"Epi Curve","56","56","2020-10-11 00:00:00","2020-08-25 00:00:00","","",""
"Epi Curve","47","47","2020-10-10 00:00:00","2020-08-24 00:00:00","","",""
"Epi Curve","48","48","2020-10-09 00:00:00","2020-08-23 00:00:00","","",""
"Epi Curve","43","43","2020-10-08 00:00:00","2020-08-22 00:00:00","","",""
"Epi Curve","50","50","2020-10-07 00:00:00","2020-08-21 00:00:00","","",""
"Epi Curve","46","46","2020-10-06 00:00:00","2020-08-20 00:00:00","","",""
"Epi Curve","50","50","2020-10-05 00:00:00","2020-08-19 00:00:00","","",""
"Epi Curve","41","41","2020-10-04 00:00:00","2020-08-18 00:00:00","","",""
