"2.1.2 Positive Cases Chg 7 Day","cases","2020-07-30","2020-05-22","640","true","","","","","","","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-19","2020-06-01","","331","331","331","2020-03-19","2020-06-01","","331","331","331","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-20","2020-06-02","","218","218","218","2020-03-20","2020-06-02","","218","218","218","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-21","2020-06-03","","244","244","244","2020-03-21","2020-06-03","","244","244","244","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-22","2020-06-04","","265","265","265","2020-03-22","2020-06-04","","265","265","265","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-23","2020-06-05","","222","222","222","2020-03-23","2020-06-05","","222","222","222","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-24","2020-06-06","","580","580","580","2020-03-24","2020-06-06","","580","580","580","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-25","2020-06-07","","471","471","471","2020-03-25","2020-06-07","","471","471","471","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-26","2020-06-08","","795","795","795","2020-03-26","2020-06-08","","795","795","795","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-27","2020-06-09","","842","842","842","2020-03-27","2020-06-09","","842","842","842","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-28","2020-06-10","","640","640","640","2020-03-28","2020-06-10","","640","640","640","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-29","2020-06-11","","480","480","480","2020-03-29","2020-06-11","","480","480","480","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-30","2020-06-12","","1169","1169","1169","2020-03-30","2020-06-12","","1169","1169","1169","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-31","2020-06-13","","1223","1223","1223","2020-03-31","2020-06-13","","1223","1223","1223","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-01","2020-06-14","","1036","1036","1036","2020-04-01","2020-06-14","","1036","1036","1036","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-02","2020-06-15","","1510","1510","1510","2020-04-02","2020-06-15","","1510","1510","1510","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-03","2020-06-16","","1325","1325","1325","2020-04-03","2020-06-16","","1325","1325","1325","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-04","2020-06-17","","1412","1412","1412","2020-04-04","2020-06-17","","1412","1412","1412","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-05","2020-06-18","","898","898","898","2020-04-05","2020-06-18","","898","898","898","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-06","2020-06-19","","1529","1529","1529","2020-04-06","2020-06-19","","1529","1529","1529","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-07","2020-06-20","","1092","1092","1092","2020-04-07","2020-06-20","","1092","1092","1092","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-08","2020-06-21","","1352","1352","1352","2020-04-08","2020-06-21","","1352","1352","1352","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-09","2020-06-22","","1163","1163","1163","2020-04-09","2020-06-22","","1163","1163","1163","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-10","2020-06-23","","1143","1143","1143","2020-04-10","2020-06-23","","1143","1143","1143","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-11","2020-06-24","","1179","1179","1179","2020-04-11","2020-06-24","","1179","1179","1179","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-12","2020-06-25","","554","554","554","2020-04-12","2020-06-25","","554","554","554","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-13","2020-06-26","","990","990","990","2020-04-13","2020-06-26","","990","990","990","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-14","2020-06-27","","1086","1086","1086","2020-04-14","2020-06-27","","1086","1086","1086","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-15","2020-06-28","","1758","1758","1758","2020-04-15","2020-06-28","","1758","1758","1758","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-16","2020-06-29","","1346","1346","1346","2020-04-16","2020-06-29","","1346","1346","1346","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-17","2020-06-30","","1435","1435","1435","2020-04-17","2020-06-30","","1435","1435","1435","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-18","2020-07-01","","1370","1370","1370","2020-04-18","2020-07-01","","1370","1370","1370","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-19","2020-07-02","","645","645","645","2020-04-19","2020-07-02","","645","645","645","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-20","2020-07-03","","2283","2283","2283","2020-04-20","2020-07-03","","2283","2283","2283","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-21","2020-07-04","","2135","2135","2135","2020-04-21","2020-07-04","","2135","2135","2135","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-22","2020-07-05","","1973","1973","1973","2020-04-22","2020-07-05","","1973","1973","1973","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-23","2020-07-06","","1885","1885","1885","2020-04-23","2020-07-06","","1885","1885","1885","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-24","2020-07-07","","1883","1883","1883","2020-04-24","2020-07-07","","1883","1883","1883","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-25","2020-07-08","","1027","1027","1027","2020-04-25","2020-07-08","","1027","1027","1027","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-26","2020-07-09","","1300","1300","1300","2020-04-26","2020-07-09","","1300","1300","1300","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-27","2020-07-10","","1567","1567","1567","2020-04-27","2020-07-10","","1567","1567","1567","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-28","2020-07-11","","1469","1469","1469","2020-04-28","2020-07-11","","1469","1469","1469","","","","","",""
