"2.1.3 Positive Cases Chg Line","2020-03-19","2020-05-30","","331","331","331","2020-03-19","2020-05-30","","331","331","331","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-20","2020-05-31","","218","218","218","2020-03-20","2020-05-31","","218","218","218","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-21","2020-06-01","","244","244","244","2020-03-21","2020-06-01","","244","244","244","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-22","2020-06-02","","265","265","265","2020-03-22","2020-06-02","","265","265","265","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-23","2020-06-03","","222","222","222","2020-03-23","2020-06-03","","222","222","222","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-24","2020-06-04","","580","580","580","2020-03-24","2020-06-04","","580","580","580","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-25","2020-06-05","","471","471","471","2020-03-25","2020-06-05","","471","471","471","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-26","2020-06-06","","795","795","795","2020-03-26","2020-06-06","","795","795","795","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-27","2020-06-07","","842","842","842","2020-03-27","2020-06-07","","842","842","842","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-28","2020-06-08","","640","640","640","2020-03-28","2020-06-08","","640","640","640","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-29","2020-06-09","","480","480","480","2020-03-29","2020-06-09","","480","480","480","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-30","2020-06-10","","1169","1169","1169","2020-03-30","2020-06-10","","1169","1169","1169","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-31","2020-06-11","","1223","1223","1223","2020-03-31","2020-06-11","","1223","1223","1223","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-01","2020-06-12","","1036","1036","1036","2020-04-01","2020-06-12","","1036","1036","1036","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-02","2020-06-13","","1510","1510","1510","2020-04-02","2020-06-13","","1510","1510","1510","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-03","2020-06-14","","1325","1325","1325","2020-04-03","2020-06-14","","1325","1325","1325","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-04","2020-06-15","","1412","1412","1412","2020-04-04","2020-06-15","","1412","1412","1412","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-05","2020-06-16","","898","898","898","2020-04-05","2020-06-16","","898","898","898","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-06","2020-06-17","","1529","1529","1529","2020-04-06","2020-06-17","","1529","1529","1529","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-07","2020-06-18","","1092","1092","1092","2020-04-07","2020-06-18","","1092","1092","1092","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-08","2020-06-19","","1352","1352","1352","2020-04-08","2020-06-19","","1352","1352","1352","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-09","2020-06-20","","1163","1163","1163","2020-04-09","2020-06-20","","1163","1163","1163","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-10","2020-06-21","","1143","1143","1143","2020-04-10","2020-06-21","","1143","1143","1143","","","","","",""
